english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages
Pliny the Elder,Pline l'Ancien,Gaius Plinius Secundus,Q82778,Plinius Maior,697,"[""the Elder Pliny"", ""Pliny"", ""C. Plinius Secundus"", ""Caius Plinius Secundus"", ""Gaius Plinius Secundus"", ""Gaius P. Secundus"", ""Caius P. Secundus"", ""Plinius""]","[""Gaius Plinius Secundus"", ""Caius Plinius Secundus""]","[""Plinius Maior"", ""Plinius senior"", ""Caius Plinius Secundus"", ""Plinius Major""]","[""Latin""]"
Boethius,Boèce,Anicius Manlius Torquatus Severinus Boethius,Q102851,Boethius,164,"[""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicus Manlius Severinus Boethius"", ""Anicius Manlius Torquatus Severinus Boethius""]","[""Anicius Bo\u00e8ce"", ""S\u00e9verin Bo\u00e8ce"", ""Bo\u00ebce"", ""Anicius Manlius Severinus Boethius"", ""Boethius"", ""Boetius""]","[""Severinus Boethius"", ""Anicius Manlius Severinus Boethius"", ""Bo\u00ebthius"", ""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicius Manlius Severinus Boetius"", ""Boethius"", ""Anicius Manlius Torquatus Severinus Bo\u00ebthius""]","[""Latin""]"
Cornelius Nepos,Cornélius Népos,Cornelius Nepos,Q109594,Cornelius Nepos,204,[],"[""Corn\u00e9lius Nepos"", ""Cornelius Nepos""]","[""Cornelius Nepos Historicus""]","[""Latin""]"
Tibullus,Tibulle,Albius Tibullus,Q109598,Tibullus,1275,"[""Tibullus Albius"", ""Albius Tibullus""]","[""Tibullus""]","[""Tibullus""]","[""Latin""]"
Paulinus of Nola,Paulin de Nole,Paulinus Nolanus,Q132473,Paulinus of Nola,632,"[""Paulinus Nolanus"", ""St. Paulinus of Nola""]",[],[],"[""Latin""]"
Bede,Bède le Vénérable,Beda,Q154938,Beda Venerabilis,158,"[""Beda"", ""Doctor Anglorum"", ""Bede the Venerable"", ""Bede le Venerable"", ""Venerable Bede"", ""Beda Anglicus"", ""Saint Bede"", ""Saint Bede the Venerable"", ""Doctor of the English""]","[""Bede le Venerable"", ""B\u00e8de"", ""Saint B\u00e8de le V\u00e9n\u00e9rable"", ""Beda Venerabilis""]","[""Sanctus"", ""Beda Venerabilis""]","[""Latin""]"
Catullus,Catulle,Gaius Valerius Catullus,Q163079,Catullus,175,"[""Caius Valerius Catullus"", ""Gaius Valerius Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Latin""]"
Isidore of Seville,Isidore de Séville,Isidorus Hispalensis,Q166876,Isidorus of Sevilla,446,"[""St. Isidore"", ""Bishop of Seville"", ""Isidorus Hispalensis"", ""Isidor of Seville"", ""Saint Isidore of Seville""]","[""Isidoire de S\u00e9ville"", ""Saint Isidore de S\u00e9ville"", ""Isidore de Seville""]","[""Laus Hispaniae Isidori Hispaliensis"", ""Isidorus""]","[""Latin""]"
Pliny the Younger,Pline le Jeune,Gaius Plinius Caecilius Secundus,Q168707,Plinius the Younger,696,"[""the Younger Pliny"", ""Gaius Plinius Caecilius Secundus"", ""Gaius Caecilius Cilo"", ""C. Plinius Caecilius Secundus""]","[""Gaius Plinius Caecilius Secundus"", ""Caius Plinius Lucius filius Oufentina tribu Caecilius Secundus""]","[""C. Plinius Caecilius Secundus"", ""Caius Plinius Caecilius Secundus"", ""Plinius Minor""]","[""Latin""]"
Apuleius,Apulée,Lucius Apuleius,Q170512,Apuleius,97,"[""Lucius Apuleius""]","[""Apulee""]","[""Apuleius Madaurensis"", ""Apuleius"", ""Lucius Apuleius Madaurensis""]","[""Latin""]"
Terence,Térence,Publius Terentius Afer,Q172048,Terentius,906,"[""Publius Terentius Afer"", ""Terentius""]","[""Publius Terentius Afer"", ""Terence"", ""Terentius""]","[""P. Terentius Afer"", ""Terentius Comicus"", ""Terentius""]","[""Latin""]"
Ammianus Marcellinus,Ammien Marcellin,Ammianus Marcellinus,Q172198,Ammianus Marcellinus,47,"[""Ammianus""]","[""Ammianus Marcellinus"", ""Ammianus"", ""Amien Marcellin""]","[""Ammianus"", ""Ammianus Marcellinus Historicus""]","[""Latin""]"
Tertullian,Tertullien,Quintus Septimius Florens Tertullianus,Q174929,Tertullianus,907,"[""Quintus Septimius Florens Tertullianus""]","[""Quintus Septimus Florens Tertullianus""]","[""Tertullianus Scriptor ecclesiasticus"", ""Tertullianus"", ""Quintus Septimus Florens Tertullianus""]","[""Latin""]"
Cato the Elder,Caton l'Ancien,Marcus Porcius Cato maior,Q180081,Marcus Porcius Cato,4908,"[""Marcus Portius Cato"", ""Marcus Porcius Cato Major"", ""Cato Sapiens"", ""Marcus Porcius Catus"", ""Marcus Porcius Cato Sapiens"", ""Marcus Porcius Cato Maior"", ""Cato Major"", ""Marcus Porcius Cato"", ""Cato Censor""]","[""Marcus Porcius Cato Maior"", ""Caton le Censeur""]","[""M. Porcius Cato maior"", ""Cato Maior"", ""Marcus Cato"", ""Marcus Porcius Cato Censorius"", ""Marcus Porcius Catus"", ""Cato senior"", ""Marcus Porcius Cato"", ""Marcus Porcius Cato Censor"", ""Cato Censor""]","[""Latin""]"
Lucan,Lucain,Lucanus,Q188646,Lucanus,525,"[""Lucanus"", ""Marcus Annaeus Lucanus""]","[""Marcus Annaeus Lucanus""]","[""M. Annaeus Lucanus"", ""Lucanus Poeta"", ""Marcus Annaeus Lucanus""]","[""Latin""]"
Cyprian,Cyprien de Carthage,Cyprianus Carthaginiensis,Q190240,Cyprianus,210,"[""Cyprian of Carthage"", ""Cyprianus Carthaginiensis"", ""Saint Cyprian"", ""St. Cyprian""]","[""Saint Cyprien de Carthage""]","[""Sanctus Cyprianus"", ""Cyprianus Carthaginensis"", ""Thascius Caecilius Cyprianus""]","[""Latin""]"
Cassiodorus,Cassiodore,Cassiodorus,Q192365,Cassiodorus,171,"[""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Cassiodorus""]","[""Cassiodorus Senator"", ""Flavius Magnus Aurelius Cassiodorus"", ""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Latin""]"
Quintilian,Quintilien,Marcus Fabius Quintilianus,Q193769,Quintillianus,804,"[""Marcus Fabius Quintilian"", ""Marcus Fabius Quintilianus""]",[],"[""Quintilianus"", ""Quintilianus Rhetor""]","[""Latin""]"
Juvenal,Juvénal,Decimus Iunius Iuvenalis,Q193800,Iuvenalis,469,"[""Decimus Iunius Iuvenalis"", ""Decimus Junius Juvenalis""]","[""Juvenal""]","[""Iuvenalis"", ""Decimus Iunius Iuuenalis"", ""Juvenalis""]","[""Latin""]"
Porphyry,Porphyre de Tyr,Porphyrius Tyrius,Q203445,Porphyrios of Tyros,707,"[""Malchus"", ""Porphyry of Tyre""]",[],"[""Porphyrius Philosophus"", ""Malchus"", ""Porphyrius""]","[""Latin"", ""Ancient Greek""]"
Claudian,Claudien,Claudius Claudianus,Q205947,Claudianus,189,"[""Claudius Claudianus"", ""Claudius Claudianus of Alexandria"", ""Claudianus""]","[""Claudius Claudianus"", ""Claudius Claudianus d'Alexandrie""]","[""Claudianus"", ""Claudius Claudianus Alexandrinus""]","[""Latin"", ""Ancient Greek""]"
Marcus Terentius Varro,Varron,Marcus Terentius Varro,Q206119,Varro,953,"[""Marcus Terentius Varro Reatinus"", ""Varro Reatinus"", ""Varro""]","[""Marcus Terentius Varro""]","[""Marcus Terentius Varro Reatinus"", ""Varro Grammaticus"", ""Varro Reatinus""]","[""Latin""]"
Lactantius,Lactance,Lucius Caecilius Firmianus Lactantius,Q209102,Lactantius,508,"[""Lucius Caelius Firmianus Lactantius"", ""Lucius Caecilius Firmianus Lactantius""]","[""Lucius Caecilius Firmianus Lactantius""]","[""Lactantius"", ""Lactantius Firmianus"", ""Lucius Caecilius Firmanius Lactantius""]","[""Latin""]"
Justin,Justin,Marcus Iunianus Iustinus,Q210853,Iustinus,1060,"[""Marcus Junianus Justinus Frontinus"", ""Marcus Iunianus Iustinus Frontinus"", ""Marcus Junianus Justinus"", ""Marcus Iunianus Iustinus""]","[""Junianus Justinus""]","[""M. Iunianus Iustinus"", ""Iustinus"", ""Iunianus Iustinus""]","[""Latin""]"
Ausonius,Ausone,Decimus Magnus Ausonius,Q234593,Ausonius,140,"[""Decimus Magnus Ausonius""]",[],"[""Decimius Magnus Ausonius"", ""D. Magnus Ausonius Burdigalensis"", ""Ausonius""]","[""Latin""]"
Publius Papinius Statius,Stace,Publius Papinius Statius,Q243203,Statius,4842,"[""Statius""]","[""Stace"", ""Publius Papinius Statius""]","[""Statius Poeta"", ""Statius"", ""Papinius Statius""]","[""Latin""]"
Aelius Donatus,Aelius Donatus,Aelius Donatus,Q247137,Donatus,261,"[""Donatus""]","[""\u00c9lius Donat"", ""Aelius Donat""]","[""Donatus"", ""Donatus Grammaticus""]","[""Latin""]"
Seneca the Elder,Sénèque l'Ancien,Annaeus Seneca maior,Q273671,Seneca rhetor,835,"[""Annaeus Seneca maior"", ""Ann\u00e6us Seneca""]","[""Lucius Annaeus Seneca"", ""Seneque l'Ancien"", ""S\u00e9n\u00e8que le Rh\u00e9teur""]","[""Lucius Annaeus Seneca"", ""Seneca Maior"", ""Seneca Rhetor""]","[""Latin""]"
Aulus Gellius,Aulu-Gelle,Aulus Gellius,Q294800,Aulus Gellius,139,"[""Aulus Gellus"", ""Gellius"", ""Agellius""]","[""Aulu Gelle"", ""Aulus-Gellius"", ""Aulus Gellius""]","[""Gellius""]","[""Latin""]"
Gaius Lucilius,Lucilius,Gaius Lucilius,Q298729,Gaius Lucilius,4980,"[""Lucilius"", ""Caius Lucilius""]","[""Gaius Lucilius"", ""Caius Lucilius""]","[""Lucilius"", ""Lucilius Satyricus""]","[""Latin""]"
Sidonius Apollinaris,Sidoine Apollinaire,Sidonius Apollinaris,Q302936,Sidonius Apollinaris,5649,"[""Saint Sidonius Apollinaris"", ""Gaius Sollius Apollinaris Sidoniu"", ""Gaius Sollius Modestus Apollinaris Sidonius"", ""Apollinaris Sidonius""]","[""Gaius Sollius Apollinaris Sidonius"", ""Caius Sollius Apollinaris Sidonius""]","[""Sidonius Poeta""]","[""Latin""]"
Orosius,Paul Orose,Orosius,Q311456,Orosius,613,"[""Paul Orosius"", ""Paulus Orosius""]","[""Orose""]","[""Paulus Orosius"", ""Orosius Historicus""]","[""Latin""]"
Aulus Cornelius Celsus,Celse,Aulus Cornelius Celsus,Q312420,Aulus Cornelius Celsus,1938,"[""Celsus""]","[""Aulus Cornelius Celsus"", ""Cornelius Celsus""]","[""Celsus Medicus"", ""Cornelius Celsus""]","[""Latin""]"
Gaius,Gaius,Gaius,Q313439,Gaius,325,"[""Caius""]","[""Ca\u00efus"", ""Ga\u00efus""]","[""Gaius Iurisconsultus"", ""iur.,"", ""Gaius""]","[""Latin""]"
Macrobius,Macrobe,Ambrosius Theodosius Macrobius,Q313934,Macrobius,540,"[""Ambrosius Theodosius Macrobius"", ""Ambroise Th\u00e9odose Macrobe"", ""Macrobius Ambrosius Theodosius""]","[""Ambrosius Macrobius Theodosius""]","[""Macrobius Theodosius"", ""Macrobius Grammaticus"", ""Macrobius""]","[""Latin""]"
Gaius Valerius Flaccus,Caius Valerius Flaccus,Gaius Valerius Flaccus,Q316090,Gaius Valerius Flaccus,4834,"[""Gaius Valerius Flaccus Setinus Balbus"", ""Valerius Flaccus""]","[""Val\u00e9rius Flaccus""]","[""Gaius Valerius Flaccus Setinus Balbus"", ""Valerius Flaccus Setinus Balbus"", ""Valerius Flaccus Poeta"", ""Valerius Flaccus""]","[""Latin""]"
Marcus Velleius Paterculus,Velleius Paterculus,Velleius Paterculus,Q316098,Velleius Paterculus,955,"[""Velleius Paterculus""]","[""Marcus Velleius Paterculus"", ""Caius Velleius Paterculus""]","[""Velleius Paterculus Historicus""]","[""Latin""]"
Silius Italicus,Silius Italicus,Tiberius Catius Asconius Silius Italicus,Q316123,Silius Italicus,852,"[""Tiberius Catius Asconius Silius Italicus""]","[""Tiberius Catius Asconius Silius Italicus""]","[""Silius Italicus""]","[""Latin""]"
Lucius Annaeus Florus,Florus,Lucius Annaeus Florus,Q316483,Florus,319,"[""Iulius Florus"", ""Florus"", ""Julius Florus""]",[],"[""Florus Historicus"", ""Florus""]","[""Latin""]"
Marcus Cornelius Fronto,Fronton,Marcus Cornelius Fronto,Q317055,Fronto,323,"[""Fronto""]","[""Marcus Cornelius Fronto""]","[""Fronto Rhetor"", ""Fronto"", ""Marcus Cornelius Fronto Rhetor""]","[""Latin""]"
Columella,Columelle,Lucius Iunius Moderatus Columella,Q318317,Columella,199,"[""Lucius Kolumella"", ""Lucius Iunius Moderatus Columella"", ""Lucius Columella"", ""Lucius Junius Moderatus Columella"", ""L. Iunius Moderatus Columella""]","[""Lucius Columella""]","[""Columella""]","[""Latin""]"
Persius,Perse,Aulus Persius Flaccus,Q332785,Persius,646,"[""Aulus Persius Flaccus""]","[""Aulus Persius Flaccus""]","[""Persius"", ""Persius Poeta"", ""Aulus Flaccus Persius""]","[""Latin""]"
Prudentius,Prudence,Aurelius Prudentius Clemens,Q347250,Prudentius,725,"[""Marcus Aurelius Prudentius Clemens"", ""Aurelius Prudentius Clemens""]","[""Aurelius Prudentius Clemens""]","[""Prudentius Poeta"", ""Aurelius Prudentius"", ""Prudentius Clemens""]","[""Latin""]"
Martianus Capella,Martianus Capella,Martianus Capella,Q348408,Martianus Capella,560,"[""Martianus Minneus Felix Capella"", ""M. Capella"", ""Martian Capella"", ""Martian"", ""Martian. Capella"", ""Martianus"", ""Capella""]","[""Marcien Capella"", ""Martianus""]","[""Martianus Minneus Felix Capella"", ""Felix Capella"", ""Martianus"", ""Martianus Cap."", ""Martianus Capella Carthaginiensis""]","[""Latin""]"
Servius,Servius,Maurus Servius Honoratus,Q355350,Servius,839,"[""Servius Honoratus"", ""Marius Servius Honoratus"", ""Marius Servius"", ""Sergius"", ""Maurus Servius Honoratus"", ""Seregius""]","[""Maurus Servius Honoratus""]","[""Servius"", ""Servius Grammaticus""]","[""Latin""]"
Priscian,Priscien de Césarée,Priscianus Caesariensis,Q356433,Priscianus,715,"[""Priscianus"", ""Priscian of Caesarea""]","[""Priscien""]","[""Priscianus"", ""Priscianus Caesarensis"", ""Priscianus Grammaticus""]","[""Latin""]"
Tyrannius Rufinus,Rufin d'Aquilée,Tyrannius Rufinus,Q365835,Rufinus of Aquileia,819,"[""Rufinus Aquileiensis"", ""Rufinus of Concordia"", ""Rufinus of Aquileia""]","[""Tyrannius Rufinus"", ""Rufin d'Aquilee""]","[""Rufinus Aquileiensis"", ""Rufinus Scriptor ecclesiasticus""]","[""Latin""]"
Valerius Maximus,Valère Maxime,Valerius Maximus,Q379991,Valerius Maximus,951,"[""Quintus V. Maximus"", ""Caius Valerius Maximus""]","[""Valere Maxime"", ""Valerius Maximus"", ""Val\u00e8re-Maxime""]","[""Valerius Maximus Historicus""]","[""Latin""]"
Dracontius,Dracontius,Blossius Aemilius Dracontius,Q885446,Blossius Aemilius Dracontius,5946,"[""Blossius Aemilius Dracontius""]","[""Blossius Aemilius Dracontius""]","[""Dracontius"", ""Dracontius Afer"", ""Dracontius Poeta""]","[""Latin""]"
Scriptores Historiae Augustae,Scriptores Historiae Augustae,Scriptores Historiae Augustae,Q9334638,Scriptores Historiae Augustae,5058,[],[],[],"[""Latin""]"
authors of Appendix Vergiliana,auteurs de l'Appendix Vergiliana,auctores Appendicis Vergilianae,Q102338318,Appendix Vergiliana,5098,"[""authors of the Appendix Vergiliana""]",[],[],"[""Latin""]"
Julius Caesar,Jules César,Gaius Iulius Caesar,Q1048,Caesar,168,"[""Divine Julius""]","[""Jules Caesar"", ""C\u00e9sar"", ""Caius Julius Caesar""]","[""C.Iulius C.f.C.n. Caesar"", ""CAIVS\u2022IVLIVS\u2022CAESAR"", ""IMPERATOR\u2022CAIVS\u2022IVLIVS\u2022CAESAR\u2022DIVVS""]","[""Latin""]"
Virgil,Virgile,Publius Vergilius Maro,Q1398,Vergilius,958,"[""Swan of Mantua"", ""Mantuan Swan"", ""Vergil"", ""Publius Vergilius Maro""]","[""Publius Vergilius Maro""]","[""Vergilius Maro"", ""Vergilius""]","[""Latin""]"
Augustus,Auguste,Augustus,Q1405,Augustus,138,"[""Gaius Julius Caesar"", ""Gaius Octavius Caepias"", ""Gaius Octavian"", ""Octavius Caesar"", ""Gaius Julius Caesar Augustus"", ""Caesar Octavianus"", ""Gaius Julius Caesar Octavianus"", ""Octavianus"", ""Augustus Caesar"", ""Caius Octavius Thurinus"", ""Caius Octavius"", ""Octavian"", ""Gaius Caesar"", ""Caius Julius C\u00e6sar Octavianus"", ""Gaius Octavius"", ""Gaius Octavius Thurinus"", ""Caesar Augustus"", ""Imperator Gaius Julius Caesar Octavianus Divi Filius Augustus"", ""Gaius Julius Caesar Octavianus Augustus""]","[""C\u00e9sar Auguste"", ""Octave"", ""Gaius Julius Caesar"", ""Empereur Romain Auguste"", ""Octavius Caesar"", ""Gaius Octavius"", ""Caesar Augustus"", ""Octavien"", ""Gaius Julius Caesar Augustus""]","[""\u0393\u03ac\u03ca\u03bf\u03c2 \u1f48\u03ba\u03c4\u03b1\u03bf\u03cd\u03b9\u03bf\u03c2"", ""Imperator Caesar Divi F. Augustus"", ""Imperator Caesar Divi Filius Augustus"", ""Gaius Octavius"", ""\u039a\u03b1\u1fd6\u03c3\u03b1\u03c1 \u03a3\u03b5\u03b2\u03b1\u03c3\u03c4\u03cc\u03c2 \u03b8\u03b5\u03cc\u03c2"", ""Gaius Iulius Caesar Octavianus"", ""Imperator Caesar Divi f. Augustus""]","[""Latin""]"
Marcus Aurelius,Marc Aurèle,Marcus Aurelius,Q1430,Marcus Aurelius,2952,"[""Marcus Annius Verus"", ""Caesar Marcus Aurelius Antoninus Augustus"", ""Antoninus"", ""Verissimus"", ""Marcus Aurelius Verus"", ""Marcus Catilius Severus Annius Verus"", ""Marcus Aurelius Antoninus""]",[],"[""Marcus Aurelius Antoninus Philosophus"", ""Marcus Aurelius Antoninus"", ""Marcus Aurelius Antoninus Imperator""]","[""Latin"", ""Ancient Greek""]"
Cicero,Cicéron,Marcus Tullius Cicero,Q1541,Cicero,187,"[""Tully"", ""Marcus Tullius Cicero"", ""M. Tullii Ciceronis"", ""M. Tullius Cicero""]","[""Marcus Tullius Cicero""]","[""Cicero"", ""M.Tullius M.f.M.n. Cor. Cicero""]","[""Latin""]"
Titus Livius,Tite-Live,Titus Livius,Q2039,Livius,521,"[""Titus Livius Patavinus"", ""Livy""]","[""Liv"", ""Titus Livius Patavinus"", ""Titus Livius"", ""Livy""]","[""Titus Livius Patavinus""]","[""Latin""]"
Seneca,Sénèque,Lucius Annaeus Seneca minor,Q2054,Seneca,1102,"[""Lucius Annaeus Seneca"", ""L. Ann\u00e6us Seneca"", ""Annaeus Seneca"", ""Lucio Anneo Seneca"", ""Lucius Annaeus Seneca Iunior"", ""Seneca the Younger"", ""Lucius Annaeus Seneca minor"", ""the Younger Seneca"", ""Lucius Annaeus Seneca the Younger""]","[""Lucius Annaeus Seneca"", ""S\u00e9n\u00e8que le Jeune"", ""S\u00e9n\u00e8que le Philosophe""]","[""Lucius Annaeus Seneca"", ""Cordubensis"", ""L. Annaeus Seneca""]","[""Latin""]"
Martial,Martial,Marcus Valerius Martialis,Q2098,Martialis,559,"[""Marcus Valerius Martialis""]","[""Marcus Valerius Martialis""]","[""Martialis Epigrammaticus"", ""Martialis""]","[""Latin""]"
Tacitus,Tacite,Cornelius Tacitus,Q2161,Tacitus,899,"[""Gaius Cornelius Tacitus"", ""P. Cornelius Tacitus"", ""Publius Cornelius Tacitus"", ""C. Cornelius Tacitus"", ""Publius Cornelius Tacitus Caecina Paetus"", ""Cornelius Tacitus""]","[""Publius Cornelius Tacitus""]","[""Publius Cornelius Tacitus"", ""Tacitus"", ""Tacitus Historicus""]","[""Latin""]"
Quintus Curtius Rufus,Quinte-Curce,Quintus Curtius Rufus,Q5959,Curtius Rufus,209,"[""Curtius Rufus""]","[""Quinte Curce"", ""Quintus Curtius Rufus""]","[""Curtius Rufus"", ""Curtius Rufus Historicus""]","[""Latin""]"
Horace,Horace,Quintus Horatius Flaccus,Q6197,Horatius,395,"[""Q. Horatius Flaccus"", ""Quintus Horatius Flaccus"", ""Horatius Flaccus"", ""Horatius""]","[""Quintus Horatius Flaccus""]","[""Q. Horatius Flaccus"", ""Horatius Poeta"", ""Horatius""]","[""Latin""]"
Sallust,Salluste,Gaius Sallustius Crispus,Q7170,Sallustius,825,"[""Gaius Sallustius Crispus"", ""Qay Krisp Sallyusti""]",[],"[""C. Sallustius Qui. Crispus"", ""Sallustius""]","[""Latin""]"
Ovid,Ovide,Publius Ovidius Naso,Q7198,Ovidius,614,"[""P. Ovidius Naso"", ""Publius Ovidius Naso""]",[],"[""Ovidius""]","[""Latin""]"
