english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages,trismegistos_label,trismegistos_id
Arrian,Arrien,Lucius Flavius Arrianus,Q31845,Arrian of Nicomedia,100192636,202,139,"[""Arrian of Nicomedia"", ""Lucius Flavius Arrianus"", ""Flavius Arrian""]","[""Arrien de Nicom\u00e9die""]","[""Arrianus Nicomediensis"", ""Arrianus Bithynius"", ""Flavius Arrianus"", ""Arrianus Historicus"", ""Arrianus""]","[""Ancient Greek""]",Arrianos,123
Julian,Julien,Flavius Claudius Iulianus,Q33941,Julian (emperor),57406701,125,105,"[""Julianus II"", ""Flavius Claudius Iulianus"", ""Julian the Apostate"", ""Julian III"", ""Julian II"", ""Julianus III"", ""Flavius Claudius Julianus""]","[""Julien l'apostat"", ""Julien le philosophe"", ""Julien II dit l'Apostat"", ""Julien II"", ""Julien l\u2019Apostat"", ""Flavius Claudius Julianus""]","[""Iulianus Apostata"", ""Julianus Apostata"", ""Flavius Claudius Julianus"", ""Iulianus II"", ""Iulianus"", ""Iulianus Pius"", ""Iulianus Imperator""]","[""Ancient Greek""]",Iulianus imperator,451
Plutarch,Plutarque,Plutarchus,Q41523,Plutarch,268955446,841,381,"[""Ploutarchos"", ""Plutarch of Chaeronea"", ""Plutarchos"", ""Lucius Mestrius Plutarchus"", ""Plutarchus""]","[""Plutarque de Ch\u00e9ron\u00e9e""]","[""Plutarchus Philosophus"", ""Plutarchus Chaeronensis"", ""Plutarchus Biographus"", ""L. Mestrius Plutarchus""]","[""Ancient Greek""]",Ploutarchos,698
Democritus,Démocrite,Democritus,Q41980,Democritus,49224361,1,1,"[""Democritus of Abdera"", ""Laughing Philosopher"", ""Demokritos""]","[""D\u00e9mocrite d'Abd\u00e8re"", ""Democritus""]","[""Democritus Philosophus"", ""Democritus Abderita""]","[""Ancient Greek""]",Demokritos,225
Epicurus,Épicure,Epicurus,Q43216,Epicurus,1763151778254618130009,31,30,"[""Ep\u00edkouros"", ""Epikouros""]","[""Epicurus"", ""Epicure""]","[""Epicurus Philosophus"", ""Epicurus Samius""]","[""Ancient Greek""]",Epikouros,275
Aristophanes,Aristophane,Aristophanes,Q43353,Aristophanes,20962036,389,215,"[""Father of Comedy""]",[],"[""Aristophanes Comicus""]","[""Ancient Greek""]",Aristophanes,117
Aesop,Ésope,Aesopus,Q43423,Aesop,64013451,343,217,"[""Aesopus"", ""\u00c6\u017fop"", ""\u00c6sop"", ""Esop"", ""E\u017fope""]","[""Aesopus"", ""Esope""]","[""Aesopus Scriptor fabularum""]","[""Ancient Greek""]",Aisopos,26
Gregory of Nazianzus,Grégoire de Nazianze,Gregorius Nazianzenus,Q44011,Gregory of Nazianzus,108675755,108,86,"[""Gregorius Nazianzenus"", ""Grigorios Nazianzenos"", ""St. Gregory of Nazianzus"", ""St. Gregory Nazianzen"", ""Gregory the Theologian"", ""Gregory Nazianzen""]","[""Gregoire de Nazianze"", ""Gr\u00e9goire le Th\u00e9ologien"", ""Gr\u00e9goire de Naziance"", ""Saint Gr\u00e9goire de Nazianze""]","[""Gregorius Nazianzenus Theologus"", ""Gregorius Theologus""]","[""Ancient Greek""]",Gregorios of Nazianzos,341
Cyril of Alexandria,Cyrille d'Alexandrie,Cyrillus Alexandrinus,Q44079,Cyril of Alexandria (saint),190218431,32,25,"[""Doctor of the Incarnation"", ""Cyrillus Alexandrinus""]","[""Cyrille""]",[],"[""Ancient Greek""]",Kyrillos of Alexandria,505
Ignatius of Antioch,Ignace,Ignatius Antiochenus,Q44170,Ignatius of Antioch (saint),267432724,78,54,"[""Ignatius Antiochenus"", ""St. Ignatius"", ""Saint Ignatius of Antioch""]","[""Ignace d\u2019Antioche"", ""Saint Ignace d'Antioche""]","[""Ignatius Antiochensis""]","[""Ancient Greek""]",Ignatios of Antiocheia,412
Basil of Caesarea,Basile de Césarée,Basilius Caesariensis,Q44258,Basil of Caesarea,88967224,82,66,"[""Basilius Magnus"", ""Saint Basil the Great"", ""St. Basil The Great""]","[""Saint Basile de C\u00e9sar\u00e9e"", ""Saint Basile le Grand"", ""Basile de Cesaree"", ""Basile Le Grand""]","[""Basilius Magnus""]","[""Ancient Greek""]",Basileios of Kaisareia,154
Strabo,Strabon,Strabo,Q45936,Strabo,100219883,132,114,"[""Strabo of Amaseia""]","[""Strabon d\u2019Amas\u00e9e""]","[""Strabo Geographus"", ""Strabo Amasiotes""]","[""Ancient Greek""]",Strabon,886
Euripides,Euripide,Euripides,Q48305,Euripides,9553153063127619320004,342,181,[],[],"[""Euripides Tragicus""]","[""Ancient Greek""]",Euripides,299
Diogenes Laërtius,Diogène Laërce,Diogenes Laertius,Q59138,Diogenes Laërtius,41839141,220,162,"[""Diogenes Laertius""]","[""Diog\u00e8ne de La\u00ebrte"", ""Diog\u00e8ne de Laerte"", ""Diogene Laerce"", ""Diog\u00e8ne Laerce"", ""Diogenes Laertius"", ""Diog\u00e8ne de La\u00ebrt\u00e8s""]","[""Diogenes Laertios"", ""Diogenes La\u00ebrtius"", ""Diogenes Laertius Biographus""]","[""Ancient Greek""]",Diogenes Laertios,237
Demosthenes,Démosthène,Demosthenes,Q117253,Demosthenes,268302412,449,212,"[""Dimosthenis""]",[],"[""Demosthenes Atheniensis"", ""Demosthenes Orator""]","[""Ancient Greek""]",Demosthenes,226
Xenophon,Xénophon,Xenophon,Q129772,Xenophon of Athens,89597697,569,270,"[""Xenophon of Athens""]","[""Xenophon""]","[""Xenophon Historicus"", ""Xenophon Atheniensis""]","[""Ancient Greek""]",Xenophon,972
Polybius,Polybe,Polybius,Q131169,Polybius,18152380130901762264,284,196,"[""Polybius of Megalopolis""]","[""Pol\u00fabios"", ""Polybius""]","[""Polybius Historicus"", ""Polybius Megalopolitanus""]","[""Ancient Greek""]",Polybios,700
Plotinus,Plotin,Plotinus,Q134189,Plotinus,108386765,27,25,"[""Plotinos""]",[],"[""Plotinus Lycopolitanus"", ""Plotinus Philosophus""]","[""Ancient Greek""]",Plotinos,3481
Josephus,Flavius Josèphe,Flavius Iosephus,Q134461,"Josephus, Flavius",22143666,618,388,"[""Flavius Iosephus"", ""Flavius Josephus"", ""Joseph ben Matityahu"", ""Titus Flavius Josephus""]","[""Titus-Flauius Josephus"", ""Titus Flauius Josephus"", ""Titus-Flavius Jos\u00e8phe"", ""Jos\u00e8phe ben Mattatias"", ""Josephus"", ""Titus Flavius Jos\u00e8phe"", ""Flavius Josephe"", ""Yossef ben Matityahou""]","[""Iosephus Historicus"", ""Flavius Josephus"", ""Josephus Historicus""]","[""Ancient Greek""]",Flavius Iosephos,318
Pindar,Pindare,Pindarus,Q134929,Pindar,100181310,317,164,"[""Pindaros"", ""Pindarus"", ""Dirc\u00e6an Swan""]",[],"[""Pindarus Poeta"", ""Pindarus Boeotus"", ""Pindarus Lyricus""]","[""Ancient Greek""]",Pindaros,690
Theophrastus,Théophraste,Theophrastus,Q160362,Theophrastus,265397758,419,268,"[""Theophrastus of Eresos"", ""Theophr.""]","[""Theophraste"", ""Theophrastus"", ""Th\u00e9ophraste d'Ath\u00e8nes"", ""Theophr.""]","[""Theophrastus Philosophus"", ""Tyrtamus"", ""Theophrastus Eresius""]","[""Ancient Greek""]",Theophrastos,931
Diodorus Siculus,Diodore de Sicile,Diodorus Siculus,Q171241,Diodorus Siculus,56608763,192,147,"[""Diodoros of Sicily"", ""Diodorus"", ""Diodoros"", ""Diodorus of Sicily""]","[""Diodorus Siculus""]","[""Diodorus"", ""Diodorus Siculus Historicus""]","[""Ancient Greek""]",Diodoros of Sicily,234
Lucian of Samosata,Lucien de Samosate,Lucianus Samosatensis,Q177847,Lucian of Samosata,100218901,525,292,"[""Lucian"", ""Lucianus"", ""Loukianos"", ""Lucianus Samosatenus""]",[],"[""Lucianus Sophista"", ""Lucianus""]","[""Ancient Greek""]",Loukianos,524
Aratus,Aratos de Soles,Aratus Solensis,Q180671,Aratus Solaeus,100908520,34,25,"[""Aratus of Soli""]","[""Aratus de Soli"", ""Aratus"", ""Aratos""]","[""Aratus""]","[""Ancient Greek""]",Aratos,99
Irenaeus,Irénée de Lyon,Irenaeus,Q182123,Iranaeus of Lyon (saint),70051641,6,6,"[""Iren\u00e6us"", ""Irenaeus of Lyon""]","[""Iranaeus"", ""Irenee de Lyon"", ""Saint Ir\u00e9n\u00e9e de Lyon"", ""Irenaeus""]","[""Irenaeus Lugdunensis"", ""Sanctus Irenaeus"", ""Irenaeus Theologus""]","[""Ancient Greek""]",Eirenaios,438
Epictetus,Épictète,Epictetus,Q183144,Epictetus,100218891,436,240,"[""Epiktetos"", ""Epictetus of Hierapolis""]","[""Epictete"", ""Epict\u00e8te""]","[""Epictetus Hierapolitanus"", ""Epictetus Philosophus""]","[""Ancient Greek""]",Epiktetos,276
Justin Martyr,Justin de Naplouse,Iustinus Martyr,Q185117,Justin Martyr (saint),88878069,155,118,"[""Justin the Philosopher"", ""Saint Justin"", ""Justin"", ""Iustinus Martyr"", ""St. Justin""]","[""Justin le Martyr"", ""Justin martyr""]",[],"[""Ancient Greek""]",Iustinus martyr,467
Cassius Dio,Dion Cassius,Cassius Dio,Q185223,Cassius Dio,95167625,162,118,"[""Dion Cassius"", ""Dio Cassius""]","[""Cassius Dion"", ""Cassius Dio"", ""Dio Cassius""]","[""Cassius Dio Cocceianus"", ""Dio Cassius Historicus"", ""Cassius Dio Historicus"", ""Dio Cassius"", ""Lucius Cassius Dio Cocceianus""]","[""Ancient Greek""]",Cassius Dion,172
Procopius,Procope de Césarée,Procopius,Q186153,Procopius of Caesarea,100172302,82,67,"[""Procopius of Caesarea""]","[""Procope de Cesaree""]","[""Procopius Caesarensis"", ""Procopius Historicus""]","[""Ancient Greek""]",Prokopios of Kaisareia,3510
Philo of Alexandria,Philon d’Alexandrie,Philo Alexandrinus,Q189597,Philo Judaeus,307158263,106,91,"[""Philo Alexandrinus"", ""Philio Jud\u00e6us"", ""Philo Judeaus"", ""Philio Alexandrinus"", ""Philio of Alexandria"", ""Philo the Jew"", ""Philo Jud\u00e6us"", ""Philo""]","[""Philo Judaeus"", ""Philon d'Alexandrie""]","[""Philo Iudaeus"", ""Philo Judaeus"", ""Philo Philosophus""]","[""Ancient Greek""]",Philon of Alexandria,675
Appian,Appien,Appianus Alexandrinus,Q190368,Appian of Alexandria,100191271,196,146,"[""Appianus Alexandrinus"", ""Appianus of Alexandria"", ""Alexandreos"", ""Appian of Alexandria"", ""Appian\u00f2s Alexandre\u00fas""]","[""Appian"", ""Appien d'Alexandrie""]","[""Appianus""]","[""Ancient Greek""]",Appianos,95
Gregory of Nyssa,Grégoire de Nysse,Gregorius Nyssenus,Q191734,Gregory of Nyssa (saint),103646160,47,36,"[""Gregorius"", ""St. Gregory of Nyssa"", ""Gregorius Nyssenus""]","[""Gr\u00e9goire de Nic\u00e9e"", ""Saint Gr\u00e9goire de Nysse"", ""Gregoire de Nysse"", ""saint Gr\u00e9goire de Nysse""]",[],"[""Ancient Greek""]",Gregorios of Nysa,342
Apollonius of Rhodes,Apollonios de Rhodes,Apollonius Rhodius,Q192638,Apollonius of Rhodes,100175273,97,70,"[""Apollonius Rhodius""]","[""Apollonius de Rhodes""]","[""Apollonius Rhodius Epicus""]","[""Ancient Greek""]",Apollonios of Rhodos,92
Pausanias,Pausanias le Périégète,Pausanias,Q192931,Pausanias,77132959,157,130,"[""Pausanias Periegetes""]","[""Pausanias"", ""Pausanias le Periegete""]","[""Pausanias Periegeta"", ""Pausanias Periegetes"", ""Pausanias Cappadocius""]","[""Ancient Greek""]",Pausanias,642
Isocrates,Isocrate,Isocrates,Q221182,Isocrates,36926979,245,156,"[""Isokrates"", ""Isokrat\u0113s""]","[""Isocrates""]","[""Isocrates Atheniensis"", ""Isocrates Orator""]","[""Ancient Greek""]",Isokrates,448
Sextus Empiricus,Sextus Empiricus,Sextus Empiricus,Q236594,Sextus Empiricus,60320706,54,51,[],[],"[""Sextus Empiricus Philosophus""]","[""Ancient Greek""]",Sextus Empeirikos,847
Proclus,Proclus,Proclus,Q271809,Proclus,102369543,66,44,"[""Proclus Lycaeus""]","[""Proklos"", ""Proclos"", ""Proclus Diadochus""]","[""Proclus Lycius"", ""Proclus Atheniensis"", ""Proclus Philosophus"", ""Proclus Diadochus""]","[""Ancient Greek""]",Proklos,720
Athenaeus,Athénée,Athenaeus Naucratites,Q294923,Athenaeus of Naucratis,307168041,106,91,"[""Athenaeus of Naucratis"", ""Athen\u00e6us""]","[""Athenee"", ""Ath\u00e9n\u00e9e de Naucratis"", ""Athenaeus"", ""Ath\u00e9naios""]","[""Athenaeus Sophista"", ""Athenaeus Naucratita"", ""Athenaeus""]","[""Ancient Greek""]",Athenaios,135
Lysias,Lysias,Lysias,Q310164,Lysias,183417170,44,35,[],[],"[""Lysias Atheniensis"", ""Lysias Orator""]","[""Ancient Greek""]",Lysias,534
Aelian,Claude Élien,Claudius Aelianus,Q313782,"Aelian, Claudius",306342544,241,159,"[""Ailianos"", ""Claudius \u00c6lianus"", ""Claudius Aelianus"", ""\u00c6lian""]","[""\u00c6lianus"", ""Claudius Aelianus"", ""\u00c9lien le Sophiste"", ""\u00c6lien""]","[""Aelianus""]","[""Ancient Greek""]",Ailianos,22
Epiphanius of Salamis,Épiphane de Salamine,Epiphanius,Q313922,Epiphanius (Saint),13651211,23,22,"[""Epiphanius of Constantia"", ""Epiphanius"", ""St. Epiphanius""]","[""Epiphane de Salamine"", ""Saint \u00c9piphane de Salamine""]","[""Epiphanius Cyprius"", ""Epiphanius Salamiensis"", ""Epiphanius Salaminis episcopus"", ""Epiphanius Constantiensis"", ""Epiphanius Constantiae""]","[""Ancient Greek""]",Epiphanios,277
Theodoret,Théodoret de Cyr,Theodoretus,Q317029,Theodoretus of Cyrrha,77111352,99,71,"[""Theodoret of Cyrrhus""]","[""Theodoret"", ""Th\u00e9odoret"", ""Theodoret de Cyr""]","[""Theodoretus Cyrrhensis"", ""Theodoretus Scriptor ecclesiasticus"", ""Theodoretus Theologus""]","[""Ancient Greek""]",Theodoretos,912
Aeschines,Eschine,Aeschines,Q317089,Aeschines,161234357,188,116,"[""\u00c6schines""]",[],"[""Aeschines Atheniensis"", ""\u00c6schines"", ""Aeschines Orator""]","[""Ancient Greek""]",Aischines orator,23
Dio Chrysostom,Dion de Pruse,Dio Chrysostomus,Q334457,Dio Chrysostom,100906841,35,33,"[""Dio of Prusa"", ""Dio Cocceianus""]","[""Dion Chrysostome"", ""Dion Chrysost\u00f4me""]","[""Dio Prusaensis"", ""Dio Prusaeus"", ""Dio Chrysostomus Sophista""]","[""Ancient Greek""]",Dion Chrysostomos,242
Themistius,Thémistios,Themistius,Q365183,Themistius,100219934,44,37,[],"[""Th\u00e9mistius"", ""Themistius""]","[""Themistius Euphrades"", ""Themistius Rhetor"", ""Themistius Constantinopolitanus"", ""Themistius Philosophus""]","[""Ancient Greek""]",Themistios,910
Simplicius of Cilicia,Simplicius,Simplicius,Q351518,Simplicius of Cilicia,71399875,45,34,"[""Simplicius van Cilici\u00eb"", ""Simplicius""]","[""Simplicius van Cilici\u00eb"", ""Simplicios de Cilicie"", ""Simplicius de Cilicie"", ""Simplicios""]","[""Simplicius Neoplatonicus"", ""Simplicius Atheniensis"", ""Simplicius Cilicius"", ""Simplicius Philosophus"", ""Simplicius van Cilici\u00eb""]","[""Ancient Greek""]",Simplicius,859
Synesius of Cyrene,Synésios de Cyrène,Synesius Cyrenaeus,Q357027,Synesius,102323982,37,32,"[""Synesius of Ptolemais"", ""Bishop of Ptolemais"", ""Synesius""]","[""Syn\u00e9sius de Cyr\u00e8ne"", ""Syn\u00e9sios"", ""Syn\u00e9sius"", ""Synesius"", ""Synesios de Cyrene""]","[""Synesius Cyrenensis"", ""Synesius""]","[""Ancient Greek""]",Synesios of Kyrene,3702
Origen,Origène,Origenes,Q170472,Origen,95155322,182,115,"[""Origenes""]","[""Orig\u00e8ne d'Alexandrie"", ""Origene"", ""Orig\u00e8nes""]","[""Origenes Alexandrinus"", ""Origenes Adamantius"", ""Origenes Theologus""]","[""Koine Greek""]",Origenes,612
Benedict of Nursia,Benoît de Nursie,Benedictus de Nursia,Q44265,Benedict of Nursia (saint),28147121748626392193,2,2,"[""Saint Benedict"", ""Saint Benedict of Nursia"", ""St. Benedict"", ""Bengt""]","[""Saint Beno\u00eet de Nursie"", ""Benoit de Nursie""]","[""Benedictus Casinensis Abbas"", ""Sanctus Benedictus"", ""Sanctus Benedictus de Nursia"", ""Benedictus Casinensis""]",[],Benedictus,160
Apuleius,Apulée,Lucius Apuleius,Q170512,Apuleius,32115433,273,179,"[""Lucius Apuleius""]","[""Apulee""]","[""Apuleius Madaurensis"", ""Lucius Apuleius Madaurensis"", ""Apuleius""]","[""Latin""]",Apuleius,97
Ammianus Marcellinus,Ammien Marcellin,Ammianus Marcellinus,Q172198,Ammianus Marcellinus,89594750,133,109,"[""Ammianus""]","[""Amien Marcellin"", ""Ammianus Marcellinus"", ""Ammianus""]","[""Ammianus"", ""Ammianus Marcellinus Historicus""]","[""Latin""]",Ammianus Marcellinus,47
Publius Papinius Statius,Stace,Publius Papinius Statius,Q243203,"Statius, Publius Papinus",100904338,204,150,"[""Statius""]","[""Stace"", ""Publius Papinius Statius""]","[""Statius"", ""Statius Poeta"", ""Papinius Statius""]","[""Latin""]",Statius,4842
Julius Caesar,Jules César,Gaius Iulius Caesar,Q1048,"Caesar, Gaius Julius",286265178,823,364,"[""Divine Julius""]","[""Jules Caesar"", ""C\u00e9sar"", ""Caius Julius Caesar""]","[""CAIVS\u2022IVLIVS\u2022CAESAR"", ""IMPERATOR\u2022CAIVS\u2022IVLIVS\u2022CAESAR\u2022DIVVS"", ""C.Iulius C.f.C.n. Caesar""]","[""Latin""]",Caesar,168
Virgil,Virgile,Publius Vergilius Maro,Q1398,Virgil (Vergilius Maro),8194433,1892,466,"[""Swan of Mantua"", ""Publius Vergilius Maro"", ""Mantuan Swan"", ""Vergil""]","[""Publius Vergilius Maro""]","[""Vergilius Maro"", ""Vergilius""]","[""Latin""]",Vergilius,958
Vitruvius,Vitruve,Marcus Vitruvius Pollio,Q47163,Vitruvius,46768430,165,92,"[""Pollio Vitruvius"", ""Marcus Vitruvius Pollio"", ""Vitruvius Pollio""]","[""Marc Vitruve"", ""Vitruvius""]","[""Vitruvius Pollio Scriptor de architectura"", ""Vitruvius"", ""Vitruvius Pollio""]","[""Latin""]",Vitruvius,965
Phaedrus,Phèdre,Phaedrus,Q52166,"Phaedrus, Gaius Julius",100219094,448,246,"[""Gaius Julius Phaedrus"", ""Ph\u00e6drus""]",[],"[""Gaius Iulius Phaedrus"", ""Phaedrus Scriptor fabularum""]","[""Latin""]",Phaedrus,4839
Menander,Ménandre,Menander,Q118992,Menander,297103308,54,43,"[""Menander of Athens""]","[""Menandre""]","[""Menander Atheniensis"", ""Menander Comicus""]","[""Ancient Greek""]",Menandros,571
Eusebius of Caesarea,Eusèbe de Césarée,Eusebius Caesariensis,Q142999,Eusebius of Caesarea,4929593,390,210,"[""Eusebius Pamphili"", ""Eusebius""]",[],"[""Eusebius Pamphilus"", ""Eusebius Scriptor ecclesiasticus"", ""Eusebius Pamphili"", ""Eusebius Theologus""]","[""Ancient Greek""]",Eusebios,300
Clement of Alexandria,Clément d'Alexandrie,Clemens Alexandrinus,Q188883,Clement of Alexandria,100185827,109,92,"[""Saint Clement"", ""Titus Flavius Clemens""]","[""Cl\u00e9ment d\u2019Alexandrie"", ""Clement d'Alexandrie""]","[""Clemens Alexandrinus Theologus"", ""Titus Flavius Clemens""]","[""Ancient Greek""]",Clemens of Alexandria,196
Ptolemy,Claude Ptolémée,Claudius Ptolemaeus,Q34943,"Ptolemy, Claudius",54152998,176,127,"[""Claudius Ptolemeus"", ""Claudius Ptolemy"", ""Claudius Ptolemaeus"", ""Klaudios Ptolemaios""]","[""Claudius Ptolemaeus"", ""Claudius Ptolemeus""]","[""Ptolemaeus Alexandrinus"", ""Ptolem\u00e6us"", ""Ptolemaeus Astrologus"", ""Ptolemaeus Mathematicus"", ""Ptolemaeus"", ""Claudius Ptolem\u00e6us""]","[""Ancient Greek""]",Claudius Ptolemaios,192
John Chrysostom,Jean Chrysostome,Ioannes Chrysostomus,Q43706,John Chrysostom (saint),305214868,204,114,"[""Giovanni Crisostomo"", ""St. John Chrysostom"", ""Johannes Chrysostomus"", ""Saint John Chrysostom"", ""Ioannes Crisostomus"", ""Chrysostomus"", ""Chryssorhoas"", ""Joannes Chrysostomus"", ""Iohannes Antiochiensis"", ""Joannes Chrysostomos"", ""John I Chrysostom""]","[""saint Jean Bouche d\u2019Or"", ""Jean Ier Chrysostome"", ""Jean Chrysost\u00f4me""]","[""Iohannes Chrysostomus Scriptor ecclesiasticus"", ""Iohannes Chrysostomus"", ""Johannes Chrysostomus Scriptor ecclesiasticus"", ""Sanctus Iohannes Chrysostomus""]","[""Ancient Greek""]",Ioannes Chrysostomos,416
Aristotle,Aristote,Aristoteles,Q868,Aristotle,7524651,870,263,"[""the Stagirite""]",[],"[""Aristoteles Pellaeus"", ""Aristoteles Atheniensis"", ""Aristoteles Stagirites""]","[""Attic Greek""]",Aristoteles,119
