q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,trismegistos_label,trismegistos_id,english_label,french_label,latin_label,english_aliases,french_aliases,latin_aliases,writing_languages
Q190368,Appian of Alexandria,100191271,196.0,146.0,Appianos,95.0,Appian,Appien,Appianus Alexandrinus,"[""Appianus Alexandrinus"", ""Appianus of Alexandria"", ""Alexandreos"", ""Appian of Alexandria"", ""Appian\u00f2s Alexandre\u00fas""]","[""Appian"", ""Appien d'Alexandrie""]","[""Appianus""]","[""Ancient Greek""]"
Q191734,Gregory of Nyssa (saint),103646160,47.0,36.0,Gregorios of Nysa,342.0,Gregory of Nyssa,Grégoire de Nysse,Gregorius Nyssenus,"[""Gregorius"", ""St. Gregory of Nyssa"", ""Gregorius Nyssenus""]","[""Gr\u00e9goire de Nic\u00e9e"", ""Saint Gr\u00e9goire de Nysse"", ""Gregoire de Nysse"", ""saint Gr\u00e9goire de Nysse""]",[],"[""Ancient Greek""]"
Q192358,,,,,Anonymi of the Corpus Hermeticum,205.0,Hermes Trismegistus,Hermès Trismégiste,Hermes Trismegistus,"[""Trismegistus""]","[""Hermes Trismegistus"", ""Herm\u00e8s Trismegiste"", ""Hermes Trismegiste""]","[""Mercurius ter Maximus""]","[""Ancient Greek""]"
Q192365,Aurelius Cassiodorus,95230707,55.0,48.0,Cassiodorus,171.0,Cassiodorus,Cassiodore,Cassiodorus,"[""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Cassiodorus""]","[""Flavius Magnus Aurelius Cassiodorus"", ""Cassiodorus Senator"", ""Flavius Magnus Aurelius Cassiodorus Senator""]","[""Latin""]"
Q192371,Polycarp (saint),2475604,18.0,18.0,,,Polycarp,Polycarpe de Smyrne,Polycarpus Smyrnaeus,"[""Polycarp of Smyrna"", ""Bishop Polycarp"", ""Bishop Polycarp of Smyrna""]","[""saint Polycarpe de Smyrne""]","[""Polycarpus Smyrnensis""]","[""Ancient Greek""]"
Q192417,,,,,Kallimachos,480.0,Callimachus,Callimaque de Cyrène,Callimachus,"[""Kallimachos of Kyrene"", ""Battiades"", ""Callimachus of Cyrene""]","[""Callimaque"", ""Callimaque de Cyrene""]","[""Callimachus Philosophus"", ""Callimachus Cyrenaicus"", ""Callimachus Poeta"", ""Callimachus Cyrenaeus"", ""Callimachus Cyrenensis""]","[""Ancient Greek""]"
Q192638,Apollonius of Rhodes,100175273,97.0,70.0,Apollonios of Rhodos,92.0,Apollonius of Rhodes,Apollonios de Rhodes,Apollonius Rhodius,"[""Apollonius Rhodius""]","[""Apollonius de Rhodes""]","[""Apollonius Rhodius Epicus""]","[""Ancient Greek""]"
Q192931,Pausanias,77132959,157.0,130.0,Pausanias,642.0,Pausanias,Pausanias le Périégète,Pausanias,"[""Pausanias Periegetes""]","[""Pausanias"", ""Pausanias le Periegete""]","[""Pausanias Periegeta"", ""Pausanias Periegetes"", ""Pausanias Cappadocius""]","[""Ancient Greek""]"
Q193769,"Quintilian, Marcus Fabius",34451872,401.0,226.0,Quintillianus,804.0,Quintilian,Quintilien,Marcus Fabius Quintilianus,"[""Marcus Fabius Quintilian"", ""Marcus Fabius Quintilianus""]",[],"[""Quintilianus"", ""Quintilianus Rhetor""]","[""Latin""]"
Q193800,Juvenal,83985148,861.0,355.0,Iuvenalis,469.0,Juvenal,Juvénal,Decimus Iunius Iuvenalis,"[""Decimus Iunius Iuvenalis"", ""Decimus Junius Juvenalis""]","[""Juvenal""]","[""Juvenalis"", ""Iuvenalis"", ""Decimus Iunius Iuuenalis""]","[""Latin""]"
Q200608,Ephrem the Syrian,100177778,6.0,5.0,,,Ephrem the Syrian,Éphrem le Syriaque,Ephraem Syrus,"[""Ephraim the Syrian"", ""Ephraem Syrus""]","[""Ephraem le Syrien"", ""\u00c9phrem le Syrien"", ""Ephrem le Syrien"", ""Saint Ephrem le Syrien"", ""\u00c9phrem de Nisibe"", ""\u00c9phr\u00e8me le Syrien""]","[""Ephraem Graecus""]","[""Syriac""]"
Q201323,,,,,Archilochos,101.0,Archilochus of Paros,Archiloque,Archilochus,"[""Archilochus of Paros""]","[""Archiloque de Paros""]","[""Archilochus Elegiacus"", ""Archilochus Poeta"", ""Archilochus Iambographus"", ""Archilochus Parius""]","[""Ancient Greek""]"
Q203445,Porphyry of Tyre,102333270,47.0,43.0,Porphyrios of Tyros,707.0,Porphyry,Porphyre de Tyr,Porphyrius Tyrius,"[""Porphyry of Tyre"", ""Malchus""]",[],"[""Porphyrius"", ""Porphyrius Philosophus"", ""Malchus""]","[""Latin"", ""Ancient Greek""]"
Q2039,Livy (Titus Livius),99942145,722.0,354.0,Livius,521.0,Titus Livius,Tite-Live,Titus Livius,"[""Titus Livius Patavinus"", ""Livy""]","[""Titus Livius Patavinus"", ""Livy"", ""Titus Livius"", ""Liv""]","[""Titus Livius Patavinus""]","[""Latin""]"
Q203922,,,,,Mani,547.0,Mani,Mani,Manes,"[""Manes"", ""Suraik"", ""Kurbik""]","[""ma\u00eetre Mani"", ""le Vivant"", ""Manikhaios""]","[""Manichaeus""]",[]
Q2054,,,,,Seneca,1102.0,Seneca,Sénèque,Lucius Annaeus Seneca minor,"[""Lucius Annaeus Seneca"", ""L. Ann\u00e6us Seneca"", ""Annaeus Seneca"", ""Lucio Anneo Seneca"", ""Lucius Annaeus Seneca Iunior"", ""Seneca the Younger"", ""Lucius Annaeus Seneca minor"", ""the Younger Seneca"", ""Lucius Annaeus Seneca the Younger""]","[""Lucius Annaeus Seneca"", ""S\u00e9n\u00e8que le Jeune"", ""S\u00e9n\u00e8que le Philosophe""]","[""Lucius Annaeus Seneca"", ""Cordubensis"", ""L. Annaeus Seneca""]","[""Latin""]"
Q205947,Claudian (Claudius Claudianus),246763674,224.0,160.0,Claudianus,189.0,Claudian,Claudien,Claudius Claudianus,"[""Claudianus"", ""Claudius Claudianus of Alexandria"", ""Claudius Claudianus""]","[""Claudius Claudianus"", ""Claudius Claudianus d'Alexandrie""]","[""Claudianus"", ""Claudius Claudianus Alexandrinus""]","[""Latin"", ""Ancient Greek""]"
Q206119,"Terentius Varro, Marcus",100219311,99.0,71.0,Varro,953.0,Marcus Terentius Varro,Varron,Marcus Terentius Varro,"[""Marcus Terentius Varro Reatinus"", ""Varro"", ""Varro Reatinus""]","[""Marcus Terentius Varro""]","[""Marcus Terentius Varro Reatinus"", ""Varro Grammaticus"", ""Varro Reatinus""]","[""Latin""]"
Q206842,,,,,Maximos confessor,2999.0,Maximus the Confessor,Maxime le Confesseur,Maximus Confessor,"[""Saint Maximus"", ""Maximus of Constantinople"", ""Maximus the Theologian""]","[""Maxime de Chrysopolis"", ""Saint Maxime le Confesseur""]","[""Maximus Confessor Theologus"", ""Maximus Constantinopolitanus"", ""Maximus Homologetes""]","[""Medieval Greek""]"
Q207113,,,,,Hippolytos of Rome,391.0,Hippolytus,Hippolyte de Rome,Hippolytus,"[""St. Hippolytus"", ""Hippolytus of Rome""]","[""Hippolyte de Porto"", ""Antipape Hippolyte"", ""Saint Hippolyte de Rome""]","[""Sanctus Hippolytus"", ""Hippolytus Romanus""]",[]
Q209102,"Lactantius, Lucius Caecilius",100198064,267.0,174.0,Lactantius,508.0,Lactantius,Lactance,Lucius Caecilius Firmianus Lactantius,"[""Lucius Caelius Firmianus Lactantius"", ""Lucius Caecilius Firmianus Lactantius""]","[""Lucius Caecilius Firmianus Lactantius""]","[""Lactantius"", ""Lactantius Firmianus"", ""Lucius Caecilius Firmanius Lactantius""]","[""Latin""]"
Q2098,"Martial, Marcus Valerius",8099277,507.0,256.0,Martialis,559.0,Martial,Martial,Marcus Valerius Martialis,"[""Marcus Valerius Martialis""]","[""Marcus Valerius Martialis""]","[""Martialis Epigrammaticus"", ""Martialis""]","[""Latin""]"
Q210853,"Justin, Marcus Junianus",24616821,567.0,303.0,Iustinus,1060.0,Justin,Justin,Marcus Iunianus Iustinus,"[""Marcus Iunianus Iustinus Frontinus"", ""Marcus Iunianus Iustinus"", ""Marcus Junianus Justinus"", ""Marcus Junianus Justinus Frontinus""]","[""Junianus Justinus""]","[""Iunianus Iustinus"", ""Iustinus"", ""M. Iunianus Iustinus""]","[""Latin""]"
Q211411,,,,,Chrysippos,186.0,Chrysippus of Soli,Chrysippe de Soles,Chrysippus,"[""Chrysippus""]","[""Chrysippos de Cilicie"", ""Chrysippe de Soli"", ""Chrysippe de Cilicie"", ""Chrysippos de Soles""]","[""Chrysippus Philosophus"", ""Chrysippus Soleus"", ""Chrysippus Stoicus"", ""Chrysippus Solensis""]","[""Ancient Greek""]"
Q212872,,,,,Alkaios,40.0,Alcaeus of Mytilene,Alcée de Mytilène,Alcaeus,"[""Alc\u00e6us"", ""Alcaeus"", ""Alc\u00e6us of Mitylene"", ""Alkaios""]","[""Alc\u00e9e de Lesbos""]","[""Alcaeus Mytilenaeus"", ""Alcaeus Lyricus"", ""Alcaeus Lesbius"", ""Alc\u00e6us Mitylen\u00e6us""]","[""Ancient Greek""]"
Q2161,"Tacitus, Publius Cornelius",100226923,1049.0,418.0,Tacitus,899.0,Tacitus,Tacite,Cornelius Tacitus,"[""P. Cornelius Tacitus"", ""Publius Cornelius Tacitus"", ""Cornelius Tacitus"", ""C. Cornelius Tacitus"", ""Gaius Cornelius Tacitus"", ""Publius Cornelius Tacitus Caecina Paetus""]","[""Publius Cornelius Tacitus""]","[""Tacitus Historicus"", ""Tacitus"", ""Publius Cornelius Tacitus""]","[""Latin""]"
Q219484,,,,,Theokritos,925.0,Theocritus,Théocrite,Theocritus,"[""Theocrates""]","[""Theocrite""]","[""Theocritus Bucolicus"", ""Theocritus Syracusanus"", ""Theocritus Syracusius"", ""Theocritus Poeta""]","[""Ancient Greek""]"
Q221182,Isocrates,36926979,245.0,156.0,Isokrates,448.0,Isocrates,Isocrate,Isocrates,"[""Isokrates"", ""Isokrat\u0113s""]","[""Isocrates""]","[""Isocrates Atheniensis"", ""Isocrates Orator""]","[""Ancient Greek""]"
Q221951,,,,,Achilleus Tatios,7.0,Achilles Tatius,Achille Tatius,Achilles Tatius,"[""Achilleus Tatios""]","[""Achille Tatios"", ""Achilles Tatius""]","[""Achilles Tatius Scriptor eroticus""]","[""Ancient Greek""]"
Q226858,Zosimus,102333329,68.0,62.0,,,Zosimus,Zosime,Zosimus,[],[],"[""Zosimus Costantinopolitanus"", ""Zosimus Historicus""]","[""Koine Greek""]"
Q2274948,Philostratus (Flavius),250889454,98.0,80.0,Philostratos II,679.0,Philostratus,Philostrate d'Athènes,Philostratus Atheniensis,"[""Philostratus Atheniensis"", ""Lucius Flavius Philostratus"", ""Philostratus the Athenian""]","[""Philostrate l'Athenien"", ""Philostrate"", ""Philostrate l'Ath\u00e9nien""]","[""Flavius Philostratus"", ""Flavius Philostratus Atheniensis"", ""Flavius Philostratus Sophista""]","[""Ancient Greek""]"
Q234593,"Ausonius, Decimus Magnus",109786483,178.0,133.0,Ausonius,140.0,Ausonius,Ausone,Decimus Magnus Ausonius,"[""Decimus Magnus Ausonius""]",[],"[""Decimius Magnus Ausonius"", ""D. Magnus Ausonius Burdigalensis"", ""Ausonius""]","[""Latin""]"
Q236594,Sextus Empiricus,60320706,54.0,51.0,Sextus Empeirikos,847.0,Sextus Empiricus,Sextus Empiricus,Sextus Empiricus,[],[],"[""Sextus Empiricus Philosophus""]","[""Ancient Greek""]"
Q241132,Corinna,7407161332389852420005,7.0,7.0,,,Corinna,Corinne,Corinna,"[""Corinna of Tanagra""]","[""Corinna""]","[""Corinna Lyrica"", ""Corinna Tanagraea""]","[""Ancient Greek""]"
Q243187,,,,,Photios,687.0,Photios I of Constantinople,Photios Ier de Constantinople,Photius I,"[""Patriarch Photius I of Constantinople"", ""Photius"", ""Photios"", ""Patriarch Photios I of Constantinople"", ""Photios the Great"", ""Photius I of Constantinople""]","[""Photios de Constantinople"", ""Photius de Constantinople""]","[""Photius Theologus"", ""Photius Lexicographus"", ""Photius"", ""Photius Scriptor ecclesiasticus"", ""Photius Patriarcha Constantinopolitanus"", ""Photius Constantinopolitanus"", ""Photius Philologus"", ""Photius Patriarcha""]","[""Ancient Greek""]"
Q243203,"Statius, Publius Papinus",100904338,204.0,150.0,Statius,4842.0,Publius Papinius Statius,Stace,Publius Papinius Statius,"[""Statius""]","[""Stace"", ""Publius Papinius Statius""]","[""Statius"", ""Statius Poeta"", ""Papinius Statius""]","[""Latin""]"
Q247137,,,,,Donatus,261.0,Aelius Donatus,Aelius Donatus,Aelius Donatus,"[""Donatus""]","[""\u00c9lius Donat"", ""Aelius Donat""]","[""Donatus"", ""Donatus Grammaticus""]","[""Latin""]"
Q248840,Hierocles of Alexandria,84971648,118.0,98.0,,,Hierocles of Alexandria,Hiéroclès d'Alexandrie,Hierocles Alexandrinus,[],[],"[""Hierocles Philosophus"", ""Hierocles Platonicus""]","[""Ancient Greek""]"
Q24962922,Nonnus of Panopolis,61564416,54.0,40.0,,,Pseudo-Nonnus,Pseudo-Nonnos,Pseudo-Nonnus,[],[],"[""Nonnus Abbas""]","[""Ancient Greek""]"
Q2514828,Caelius Aurelianus,102322199,18.0,16.0,,,Caelius Aurelianus,Caelius Aurelianus,Caelius Aurelianus,[],"[""C\u00e9lius Aur\u00e9lien""]",[],"[""Latin""]"
Q2574348,"Mercator, Marius",60905671,8.0,8.0,,,Marius Mercator,Marius Mercator,Marius Mercator,[],[],"[""Marius Mercator Scriptor ecclesiasticus"", ""Marius Mercator Afer""]","[""Latin""]"
Q257448,Sulpicia,79413101,4.0,4.0,,,Sulpicia,Sulpicia,Sulpicia,"[""Sulpicia I""]",[],"[""Sulpicia Poeta""]","[""Latin""]"
Q26204,,,,,Dionysios of Halikarnassos,247.0,Dionysius of Halicarnassus,Denys d'Halicarnasse,Dionysius Halicarnasseus,"[""Dionysios of Halikarnassos""]","[""Denys d'Halycarnasse""]","[""Dionysius Halicarnassensis"", ""Dionysius Halicarnassensis Historicus"", ""Dionysius Halicarnassensis Rhetor""]","[""Ancient Greek""]"
Q263892,,,,,Libanios,520.0,Libanius,Libanios,Libanius,"[""Libanius Sophista"", ""Libanius of Antioch"", ""Libanius the Sophist"", ""Libanios""]",[],"[""Libanius Sophista"", ""Libanius Rhetor"", ""Libanius Antiochenus""]","[""Ancient Greek""]"
Q26825,,,,,Herodotos,376.0,Herodotus,Hérodote,Herodotus,"[""Herodotos"", ""Herodotus of Halicarnassus"", ""Father of History""]","[""H\u00e9rodote d'Halicarnasse"", ""Herodote"", ""H\u00e9rodote de Thourioi""]","[""Herodotus Halicarnassensis""]","[""Ancient Greek""]"
Q2696542,Apollonius the Sophist,266713061,8.0,8.0,,,Apollonius the Sophist,Apollonios le Sophiste,Apollonius Sophista,[],[],[],"[""Ancient Greek""]"
Q271809,Proclus,102369543,66.0,44.0,Proklos,720.0,Proclus,Proclus,Proclus,"[""Proclus Lycaeus""]","[""Proklos"", ""Proclos"", ""Proclus Diadochus""]","[""Proclus Lycius"", ""Proclus Atheniensis"", ""Proclus Philosophus"", ""Proclus Diadochus""]","[""Ancient Greek""]"
Q272087,,,,,Tatianos,900.0,Tatian,Tatien le Syrien,Tatianus,"[""Tatianus"", ""Tatian the Syrian""]","[""Tatien""]","[""Tatianus Syrus"", ""Tatianus Assyrius""]","[""Syriac""]"
Q273003,,,,,Simonides of Keos,857.0,Simonides of Ceos,Simonide de Céos,Simonides,"[""Simonides of Keos"", ""Simonides""]","[""Simonide de Ceos"", ""Simonide""]","[""Simonides Ceus"", ""Simonides Lyricus""]","[""Ancient Greek""]"
Q273671,"Seneca, Marcus / Lucius Annaeus (rhetor)",23497389,43.0,37.0,Seneca rhetor,835.0,Seneca the Elder,Sénèque l'Ancien,Annaeus Seneca maior,"[""Ann\u00e6us Seneca"", ""Annaeus Seneca maior""]","[""Lucius Annaeus Seneca"", ""Seneque l'Ancien"", ""S\u00e9n\u00e8que le Rh\u00e9teur""]","[""Lucius Annaeus Seneca"", ""Seneca Maior"", ""Seneca Rhetor""]","[""Latin""]"
Q275606,Aurelius Victor,64001057,120.0,100.0,,,Aurelius Victor,Aurelius Victor,Sextus Aurelius Victor,"[""Victor Sextus Aurelius"", ""Sextus Aurelius Victor""]","[""Aur\u00e9lius Victor"", ""Sextus Aurelius Victor""]","[""Aurelius Victor""]","[""Latin""]"
Q278711,Praxilla of Sicyon,44692841,6.0,6.0,,,Praxilla,Praxilla,Praxilla,[],"[""Praxilla de Sicyone""]","[""Praxilla Sicyonia"", ""Praxilla Lyrica"", ""Praxilla Poeta""]","[""Ancient Greek""]"
Q294800,Aulus Gellius,100198334,285.0,196.0,Aulus Gellius,139.0,Aulus Gellius,Aulu-Gelle,Aulus Gellius,"[""Gellius"", ""Aulus Gellus"", ""Agellius""]","[""Aulus-Gellius"", ""Aulu Gelle"", ""Aulus Gellius""]","[""Gellius""]","[""Latin""]"
Q294923,Athenaeus of Naucratis,307168041,106.0,91.0,Athenaios,135.0,Athenaeus,Athénée,Athenaeus Naucratites,"[""Athenaeus of Naucratis"", ""Athen\u00e6us""]","[""Athenee"", ""Ath\u00e9n\u00e9e de Naucratis"", ""Athenaeus"", ""Ath\u00e9naios""]","[""Athenaeus Sophista"", ""Athenaeus Naucratita"", ""Athenaeus""]","[""Ancient Greek""]"
Q297377,"Frontinus, Sextus Julius",12349897,94.0,73.0,,,Frontinus,Frontin,Sextus Iulius Frontinus,"[""Sextus Julius Frontinus"", ""Sextus Iulius Frontinus""]","[""Sextus Julius Frontinus"", ""Sextus Julius Frontin""]","[""Frontinus""]","[""Latin""]"
Q297776,Pedanius Dioscorides,78822798,80.0,62.0,,,Pedanius Dioscorides,Dioscoride,Dioscorides,"[""Dioscorides""]","[""\u0394\u03b9\u03bf\u03c3\u03ba\u03bf\u03c5\u03c1\u03af\u03b4\u03b7\u03c2 \u03bf \u03a0\u03b5\u03b4\u03ac\u03bd\u03b9\u03bf\u03c2"", ""Pedanius Dioscorides"", ""\u0394\u03b9\u03bf\u03c3\u03ba\u03bf\u03c1\u03af\u03b4\u03b7\u03c2 Dioskorid\u00eas"", ""Dioscorides""]","[""Dioscorides Pedanius"", ""Pedanius Dioscorides"", ""Dioscurides"", ""Dioscorides Medicus""]","[""Ancient Greek""]"
Q298654,Cyril of Jerusalem (saint),2437490,36.0,31.0,,,Cyril of Jerusalem,Cyrille de Jérusalem,Cyrillus Hierosolymitanus,[],"[""Cyrille de Jerusalem""]","[""Cyrillus Hierosolymitanus"", ""Sanctus""]","[""Ancient Greek""]"
Q298729,Lucilius,89131128,19.0,16.0,Gaius Lucilius,4980.0,Gaius Lucilius,Lucilius,Gaius Lucilius,"[""Caius Lucilius"", ""Lucilius""]","[""Caius Lucilius"", ""Gaius Lucilius""]","[""Lucilius"", ""Lucilius Satyricus""]","[""Latin""]"
Q298850,,,,,Alkman,42.0,Alcman,Alcman,Alcman,[],[],"[""Alcman Lyricus"", ""Alcman Lacedaemonius""]","[""Ancient Greek""]"
Q302723,"Festus, Sextus Pompeius",89123645,54.0,49.0,,,Sextus Pompeius Festus,Festus Grammaticus,Sextus Pompeius Festus,[],"[""Sextus Pompeius Festus""]",[],"[""Latin""]"
Q302936,Sidonius Apollinaris,89203537,32.0,31.0,Sidonius Apollinaris,5649.0,Sidonius Apollinaris,Sidoine Apollinaire,Sidonius Apollinaris,"[""Gaius Sollius Apollinaris Sidoniu"", ""Saint Sidonius Apollinaris"", ""Gaius Sollius Modestus Apollinaris Sidonius"", ""Apollinaris Sidonius""]","[""Caius Sollius Apollinaris Sidonius"", ""Gaius Sollius Apollinaris Sidonius""]","[""Sidonius Poeta""]","[""Latin""]"
Q304832,Caesarius Arelatensis,102305735,0.0,0.0,,,Caesarius of Arles,Césaire d'Arles,Caesarius Arelatensis,"[""Saint Caesarius of Arles""]",[],[],"[""Latin""]"
Q309772,Athenagoras of Athens,106097488,45.0,35.0,,,Athenagoras of Athens,Athénagoras d'Athènes,Athenagoras Atheniensis,"[""Saint Athenagoras of Athens"", ""Saint Athenagoras the Apologist"", ""Athenagoras""]","[""Ath\u00e9nagore d'Ath\u00e8nes"", ""Athenagoras d'Ath\u00e9nes"", ""Athenagoras d'Athenes""]","[""Athenagoras Apologeta""]","[""Ancient Greek""]"
Q310076,"Ulpianus, Domitius",100210035,6.0,6.0,,,Ulpian,Ulpien,Domitius Ulpianus,"[""Domitius Ulpianus""]","[""Ulpian""]","[""Gnaeus Domitius Ulpianus"", ""Ulpianus""]","[""Latin""]"
Q310164,Lysias,183417170,44.0,35.0,Lysias,534.0,Lysias,Lysias,Lysias,[],[],"[""Lysias Atheniensis"", ""Lysias Orator""]","[""Ancient Greek""]"
Q310681,,,,,Bakchylides,146.0,Bacchylides,Bacchylide,Bacchylides,[],"[""Bacchylide de C\u00e9os""]","[""Bacchylides Lyricus"", ""Bacchylides Ceus""]","[""Ancient Greek""]"
Q310916,,,,,Iamblichos of Chalkis,2596.0,Iamblichus,Jamblique,Iamblichus,"[""Iamblichus of Chalcis""]","[""Iamblichus"", ""Jamblique de Chalcis"", ""Jamblique de Tyr""]","[""Abammon Syrus"", ""Iamblichus Philosophus"", ""Iamblichus Chalcidensis""]","[""Ancient Greek""]"
Q311456,"Orosius, Paulus",2479624,45.0,41.0,Orosius,613.0,Orosius,Paul Orose,Orosius,"[""Paul Orosius"", ""Paulus Orosius""]","[""Orose""]","[""Paulus Orosius"", ""Orosius Historicus""]","[""Latin""]"
Q312420,"Celsus, Aulus Cornelius",100172872,163.0,94.0,Aulus Cornelius Celsus,1938.0,Aulus Cornelius Celsus,Celse,Aulus Cornelius Celsus,"[""Celsus""]","[""Cornelius Celsus"", ""Aulus Cornelius Celsus""]","[""Celsus Medicus"", ""Cornelius Celsus""]","[""Latin""]"
Q312816,,,,,Pseudo-Dionysios Areopagites,744.0,Pseudo-Dionysius the Areopagite,Pseudo-Denys l'Aréopagite,Pseudo-Dionysius Areopagita,"[""Pseudo-Denys"", ""Dionysius the Pseudo-Areopagite""]","[""Pseudo-Denys"", ""Corpus Areopagiticum"", ""Pseudo-Denys l'Areopagite"", ""Saint Denys l\u2019Ar\u00e9opagite""]",[],[]
Q312916,,,,,Nonnos of Panopolis,604.0,Nonnus of Panopolis,Nonnos de Panopolis,Nonnus,"[""Nonnus""]",[],"[""Nonnus Panopolitanus"", ""Nonnus Epicus""]","[""Ancient Greek""]"
Q313011,,,,,Heliodoros of Emesa,1274.0,Heliodorus of Emesa,Héliodore d’Émèse,Heliodorus Emesenus,"[""Heliodorus""]","[""Heliodore d'Emese"", ""H\u00e9liodore""]","[""Heliodorus Scriptor eroticus"", ""Heliodorus""]","[""Ancient Greek""]"
Q313056,Herodian of Antioch,87614586,209.0,154.0,,,Herodian,Hérodien,Herodianus,"[""Herodianus""]","[""Herodien""]","[""Herodianus Historicus"", ""Herodianus Syrus""]","[""Ancient Greek""]"
Q313286,Demetrius Phalereus,22955539,16.0,15.0,,,Demetrius of Phalerum,Démétrios de Phalère,Demetrius Phalereus,"[""Demetrius of Phaleron"", ""Demetrius Phalereus""]","[""D\u00e9m\u00e9trius de Phal\u00e8re"", ""Demetrios de Phalere""]","[""Demetrius Philosophus"", ""Demetrius Historicus""]","[""Ancient Greek""]"
Q313439,,,,,Gaius,325.0,Gaius,Gaius,Gaius,"[""Caius""]","[""Ca\u00efus"", ""Ga\u00efus""]","[""Gaius Iurisconsultus"", ""iur.,"", ""Gaius""]","[""Latin""]"
Q313782,"Aelian, Claudius",306342544,241.0,159.0,Ailianos,22.0,Aelian,Claude Élien,Claudius Aelianus,"[""Ailianos"", ""Claudius \u00c6lianus"", ""Claudius Aelianus"", ""\u00c6lian""]","[""\u00c6lianus"", ""Claudius Aelianus"", ""\u00c9lien le Sophiste"", ""\u00c6lien""]","[""Aelianus""]","[""Ancient Greek""]"
Q313922,Epiphanius (Saint),13651211,23.0,22.0,Epiphanios,277.0,Epiphanius of Salamis,Épiphane de Salamine,Epiphanius,"[""Epiphanius of Constantia"", ""Epiphanius"", ""St. Epiphanius""]","[""Epiphane de Salamine"", ""Saint \u00c9piphane de Salamine""]","[""Epiphanius Cyprius"", ""Epiphanius Salamiensis"", ""Epiphanius Salaminis episcopus"", ""Epiphanius Constantiensis"", ""Epiphanius Constantiae""]","[""Ancient Greek""]"
Q313934,,,,,Macrobius,540.0,Macrobius,Macrobe,Ambrosius Theodosius Macrobius,"[""Ambrosius Theodosius Macrobius"", ""Ambroise Th\u00e9odose Macrobe"", ""Macrobius Ambrosius Theodosius""]","[""Ambrosius Macrobius Theodosius""]","[""Macrobius Theodosius"", ""Macrobius Grammaticus"", ""Macrobius""]","[""Latin""]"
Q314694,Eutropius,25396473,156.0,123.0,,,Eutropius,Eutrope,Eutropius,"[""Flavius Eutropius""]","[""Flavius Eutropius""]","[""Eutropius Historicus"", ""Flavius Eutropius""]","[""Latin""]"
