english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages,viaf_id
Heliodorus of Emesa,Héliodore d’Émèse,Heliodorus Emesenus,Q313011,Heliodoros of Emesa,1274,"[""Heliodorus""]","[""Heliodore d'Emese"", ""H\u00e9liodore""]","[""Heliodorus Scriptor eroticus"", ""Heliodorus""]","[""Ancient Greek""]","[""701159234148903370944"", ""305132214"", ""268854152"", ""264843679"", ""142158790629238851717"", ""62748316"", ""1903159474333427662279""]"
Anaxagoras,Anaxagore de Clazomènes,Anaxagoras,Q83041,Anaxagoras,1538,"[""Anaxagoras of Clazomenae""]","[""Anaxagore de Clazomenes"", ""Anaxagoras"", ""Anaxagore de Clazom\u00e8ne""]","[""Anaxagoras Clazomenius""]","[""Ancient Greek""]","[""262631122"", ""298159474307927662281"", ""785154380941230290740"", ""378158790749138852936"", ""24645587""]"
Empedocles,Empédocle,Empedocles,Q83375,Empedokles,267,[],"[""Emp\u00e9docle d'Agrigente"", ""Emp\u00e9docle d\u2019Agrigente"", ""Empedocle d'Agrigente""]","[""Empedocles Philosophus""]","[""Ancient Greek""]","[""83983162"", ""266131958"", ""172385490"", ""424159474327027662800"", ""37152380102201761864"", ""150158790621138851111"", ""431144647698802820867"", ""297576907"", ""100181979""]"
Arius,Arius,Arius,Q106026,Areios,104,"[""Arius of Alexandria""]","[""Arius d'Alexandrie""]","[""Arius Alexandrinus"", ""Arius Haeresiarcha""]","[""Ancient Greek""]","[""12404999"", ""266508537""]"
Parmenides,Parménide,Parmenides,Q125551,Parmenides,3340,"[""Parmenides of Elea""]","[""Parmenide"", ""Parm\u00e9nide d'\u00c9l\u00e9e"", ""Parmenides""]","[""Parmenides Philosophus"", ""Parmenides Poeta"", ""Parmenides Eleaticus""]","[""Ancient Greek""]","[""85176683"", ""6647168049003638410005"", ""6505168049002738410003"", ""228895836"", ""100227837"", ""242154380930030290536"", ""263903469"", ""316903820"", ""57151776745618011100"", ""194145858093123021850"", ""306477808"", ""356144647703827932925"", ""100227844"", ""104174673""]"
Xenophanes,Xénophane,Xenophanes,Q131671,Xenophanes of Kolophon,4776,"[""Xenophanes of Colophon""]","[""X\u00e9nophane de Colophon"", ""Xenophane de Colophon""]","[""Xenophanes Philosophus"", ""Xenophanes Poeta"", ""Xenophanes Colophonius""]","[""Ancient Greek""]","[""44365678"", ""421158790740438852548"", ""2717168048985738410007"", ""193736227"", ""123657980"", ""100175481"", ""580154381061530292484"", ""100175475"", ""264262541"", ""87621276""]"
Solon,Solon,Solon,Q133337,Solon,864,"[""Solon of Athens""]","[""Solon d'Ath\u00e8nes""]","[""Solon Nomographus"", ""Solon Atheniensis"", ""Solon Philosophus"", ""Solon Poeta""]","[""Ancient Greek""]","[""8845160667712103560005"", ""84037247"", ""79138898"", ""4493168048993538410001"", ""380159474194227662033"", ""221682200"", ""165545503"", ""2307159248659004870004"", ""829144647671468179720"", ""81144814374407675870"", ""474158790626838851378"", ""12286461"", ""10160667497703560006"", ""14908273""]"
Protagoras,Protagoras,Protagoras,Q169243,Protagoras Abderita,8079,"[""Protagoras of Abdera""]","[""Protagoras d\u2019Abd\u00e8re"", ""Protagoras d'Abd\u00e8re""]","[""Protagoras Sophista"", ""Protagoras Abderita""]","[""Ancient Greek""]","[""84036582"", ""528159474182027661490"", ""42151776817318012232"", ""286687547"", ""238415970"", ""2094159474196327661084"", ""14755032"", ""733154380896430290026"", ""1337149296185780670004"", ""6140159248080804870001"", ""8180133"", ""87733041"", ""153644"", ""680145857877423020708"", ""336158790626338851424""]"
Posidonius,Posidonios,Posidonius Apameus,Q185770,Poseidonios of Apameia,710,"[""Poseidonios"", ""Posidonius of Apamea""]","[""Posidonios de Rhodes"", ""Poseidonios d'Apam\u00e9e"", ""Poseidonios"", ""Posidonius d'Apam\u00e9e"", ""Poseid\u00f4nios"", ""Posidonios d'Apam\u00e9e"", ""Posidonius"", ""Posidonius de Rhodes""]","[""Posidonius Philosophus"", ""Posidonius"", ""Posidonius Rhodius""]","[""Ancient Greek""]","[""751168048976138410000"", ""273159474047827660150"", ""25151776784918011936"", ""2265159477569327990002"", ""212529045"", ""1815158070742908780008"", ""1563159474203827661465"", ""55160307380157741862"", ""315688789"", ""24644250""]"
Tatian,Tatien le Syrien,Tatianus,Q272087,Tatianos,900,"[""Tatianus"", ""Tatian the Syrian""]","[""Tatien""]","[""Tatianus Syrus"", ""Tatianus Assyrius""]","[""Syriac""]","[""265270221"", ""263967414"", ""261326349"", ""108145542385196641474"", ""1685151778254218130006"", ""5533149068626565730006"", ""833154381062030292328"", ""17149542839800302189"", ""161432014"", ""213906380"", ""595159474060027660638"", ""78777213""]"
Alexandros of Aphrodisias,Alexandre d’Aphrodise,Alexander Aphrodisiensis,Q317146,Alexandros of Aphrodisias,1461,"[""Alexander of Aphrodisias""]","[""Alexandre d'Aphrodisias"", ""Alexandre d'Aphrodisie""]",[],"[""Ancient Greek""]","[""435144647706152759081"", ""100154381052130291895"", ""95239377"", ""2155149544576400490005"", ""365144647669656384141"", ""154145857007522921113""]"
John Philoponus,Jean Philopon,Iohannes Philoponus,Q317632,Ioannes Philoponos,426,"[""Johannes Philoponus"", ""Philoponus""]","[""Johannes Philoponus"", ""Jean Philopone"", ""Jean Philoppon"", ""Philopon""]","[""Johannes Philoponus"", ""Iohannes Grammaticus"", ""Johannes Grammaticus"", ""Philoponus""]","[""Ancient Greek""]","[""73160307492257742254"", ""9227152140010811100009"", ""98118283""]"
Homer,Homère,Homerus,Q6691,Homeros,393,"[""Homeros"", ""Homerus"", ""M\u00e6onides""]",[],"[""Homerus Epicus""]","[""Ancient Greek""]","[""382159474179327661328"", ""224924963"", ""1145857053522921435""]"
Euclid,Euclide,Euclides,Q8747,Eukleides,293,"[""Euclides"", ""Eukleides"", ""Euclid of Alexandria""]",[],"[""Euclides Alexandrinus"", ""Euclides Mathematicus"", ""Euclides Geometra""]","[""Ancient Greek""]","[""7963168049009338410008"", ""314893948"", ""305411082"", ""301159474047527660202"", ""222960141"", ""104169941"", ""100219655"", ""982154380949230291090"", ""266578192"", ""113145857115322922311"", ""667144647685769784378"", ""173181669"", ""176184097""]"
Dionysius of Halicarnassus,Denys d'Halicarnasse,Dionysius Halicarnasseus,Q26204,Dionysios of Halikarnassos,247,"[""Dionysios of Halikarnassos""]","[""Denys d'Halycarnasse""]","[""Dionysius Halicarnassensis"", ""Dionysius Halicarnassensis Historicus"", ""Dionysius Halicarnassensis Rhetor""]","[""Ancient Greek""]","[""477144647696295429020"", ""311579964"", ""299442087"", ""284605101"", ""172981747"", ""166762931"", ""832154380945530290441"", ""206318322"", ""3992149544590700490002"", ""100218889""]"
Herodotus,Hérodote,Herodotus,Q26825,Herodotos,376,"[""Herodotos"", ""Herodotus of Halicarnassus"", ""Father of History""]","[""H\u00e9rodote d'Halicarnasse"", ""Herodote"", ""H\u00e9rodote de Thourioi""]","[""Herodotus Halicarnassensis""]","[""Ancient Greek""]","[""662168049022538410002"", ""245167803128617771338"", ""216167803126417771311"", ""210167803127817771329"", ""80163510515710932408"", ""402144647701834919908"", ""4194151247992944270005"", ""165151776736318010617"", ""753154381062630292484"", ""4183147907508079210004"", ""361144647696882257017"", ""100225976""]"
Aeschylus,Eschyle,Aeschylus,Q40939,Aischylos,25,"[""Aeschylos"", ""\u00c6schylus""]","[""\u00c9chille"", ""\u00c9schyle"", ""Aiskh\u00falos""]","[""Aeschylus Tragicus"", ""Aeschylus Atheniensis"", ""Aeschylus tragicus""]","[""Ancient Greek""]","[""78769732"", ""750154380930930290321"", ""7386159477742827990004"", ""5901159477601127990007"", ""5811159477600927990004"", ""5226159477830027990009"", ""48164536609632021795"", ""4372168048993038410008"", ""268159474328927662894"", ""266321497"", ""262861946"", ""26163567566516380806"", ""261472932"", ""2522159477570027990008"", ""2061159477868527990001"", ""109158790744438852803"", ""104143945"", ""375144647701289307784"", ""805144647705408955770"", ""9204159478063327990003"", ""268526195"", ""3145857035722921320""]"
Heraclitus,Héraclite,Heraclitus,Q41155,Herakleitos of Ephesos,1047,"[""Heraclitus of Ephesus"", ""Weeping Philosopher""]","[""Heraklit"", ""H\u00e9raclite d'Eph\u00e8se"", ""Heraclite"", ""H\u00e9raclite d'\u00c9ph\u00e8se""]","[""Heraclitus Ephesius"", ""Heraclitus Philosophus""]","[""Ancient Greek""]","[""89803406"", ""89803370"", ""89050190"", ""309812836"", ""285165132"", ""281291166"", ""167145856839322920047"", ""14167760373013572528"", ""107545508"", ""1200160667942403560004"", ""316786950"", ""419144647697825920539"", ""45158790741138852673"", ""104815994"", ""101906635"", ""84002311"", ""89314880""]"
Thucydides,Thucydide,Thucydides,Q41683,Thoukydides,937,[],"[""Thucidide"", ""Thucydide d'Ath\u00e8nes""]","[""Thucydides Historicus"", ""Thucydides Atheniensis""]","[""Ancient Greek""]","[""947144647708407114797"", ""268856521"", ""267456442"", ""267140529"", ""266677796"", ""261542009"", ""187167803166317771996"", ""159170858710407682459"", ""1508159478091027990008"", ""142167803539517772221"", ""1170858221607681501"", ""114167803537517772214"", ""100897107"", ""9145857057222921481"", ""229192560"", ""305191583"", ""34463767"", ""871154381057330292005"", ""225158790506238850767"", ""258159474192927661983"", ""95161463""]"
Clement I,Clément de Rome,Clemens I,Q42887,Clemens of Rome,197,"[""Saint Clemens"", ""Clement the Bishop"", ""St. Clement"", ""St. Clemens"", ""Saint Clement"", ""Clemens"", ""Clemens Romanus"", ""Pope Saint Clement I"", ""San Clemente"", ""Pope Klyment I"", ""Clemens the Bishop"", ""Clement"", ""Clemens I"", ""Pope Klemens I"", ""Saint Clement I"", ""Clement of Rome"", ""Flavius Clemens"", ""Pope Kelemen I"", ""Pope Clement I""]","[""Clement Ier"", ""Cl\u00e9ment Romain"", ""Cl\u00e9ment 1er"", ""Saint Clement"", ""Cl\u00e9ment Ier""]","[""Sanctus Clemens"", ""Sanctus Clemens PP. I"", ""Papa Clemens I"", ""Clemens Romanus"", ""Sanctus Clemens I""]","[""Ancient Greek""]","[""46860095""]"
Athanasius of Alexandria,Athanase d'Alexandrie,Athanasius Alexandrinus,Q44024,Athanasios,134,"[""Athanasius the Confessor"", ""Sint Atanaze d\u2019 Alegzandreye"", ""Athanasius Alexandrinus"", ""Athanasius"", ""Athanasius the Apostolic"", ""Athanasius the Great"", ""Athanasios of Alexandria"", ""Saint Athanasius"", ""Athanasius Contra Mundum"", ""Athanasius I of Alexandria""]","[""Saint Athanase d\u2019Alexandrie"", ""Athanase le Grand"", ""Athanase Ier"", ""Athanasien"", ""Athanase d\u2019Alexandrie""]","[""Athanasius Magnus""]","[""Ancient Greek""]","[""105155222"", ""992154381007830291633""]"
Hesiod,Hésiode,Hesiodus,Q44233,Hesiodos,381,"[""Hesiod of Ascra"", ""Hesiodus""]","[""Hesiode"", ""H\u00e9siode d'Ascra""]","[""Hesiodus Ascraeus"", ""Hesiodus Epicus""]","[""Ancient Greek""]","[""3793159248347104870003"", ""263158237"", ""204158790508438850486"", ""371159474047527660844"", ""123151776730218010327"", ""712154380950030291041"", ""95146809"", ""74152742906127731410"", ""2998151247987344270003"", ""266190844"", ""405144647704944068833"", ""95145856933322920531"", ""122220717""]"
Stesichorus,Stésichore,Stesichorus,Q332797,Stesichoros,884,[],"[""St\u00e8sichore de Metauros"", ""St\u00e9sichore d'Him\u00e8re"", ""Stesichore""]","[""Stesichorus Lyricus"", ""Stesichorus Himeraeus"", ""Stesichorus Poeta""]","[""Ancient Greek""]","[""426159474176827661184"", ""405158790512538850833"", ""28161028782223740260"", ""200853583"", ""18015147"", ""177793715"", ""282509558"", ""2161028937623742253"", ""2290159400288519620006"", ""280144647698790707280"", ""79398301"", ""316962007"", ""247144647692771270411""]"
Theognis of Megara,Théognis de Mégare,Theognis,Q336115,Theognis,923,"[""Theognis""]","[""Theognis de Megare"", ""Th\u00e9ognis""]","[""Theognis Elegiacus"", ""Theognis Megarensis"", ""Theognis Megareus""]","[""Ancient Greek""]","[""7702159248587304870003"", ""6393159248554604870001"", ""46767868"", ""444144647710933107844"", ""4010168048991238410006"", ""385144647713586865721"", ""280065578"", ""2745159035162901380005"", ""243153063099019320001"", ""241500346"", ""200836158"", ""163993437"", ""2520162844755873240003"", ""233359777"", ""265406304""]"
Aelius Aristides,Aelius Aristide,Publius Aelius Aristides,Q354431,Aelius Aristeides,13,"[""Publius Aelius Aristides Theodorus"", ""Publius Aelius Aristides""]","[""\u00c6lius Aristide""]","[""Aelius Aristides"", ""Aristides Rhetor""]","[""Ancient Greek""]","[""32159234724503372500"", ""269609305"", ""305858649"", ""1098154381058330292291"", ""89043754""]"
Herodas,Hérondas,Herodas,Q434811,Herondas,379,"[""Herondas""]","[""H\u00e9rodas"", ""Herondas""]","[""Herodas Mimographus"", ""Herondas Mimographus"", ""Herondas""]","[""Ancient Greek""]","[""387159474184727661603"", ""200662391"", ""6548159248111404870003"", ""9232159478154027990001"", ""261670058"", ""1449159474072427661028"", ""445145856872622920487"", ""6295159248583104870008"", ""265833221"", ""103160307380357741862"", ""487159474340627662640""]"
Evagrius Ponticus,Évagre le Pontique,Evagrius Ponticus,Q437869,Euagrios of Pontos,286,"[""Evagrius of Pontus"", ""Evagrius the Solitary""]","[""Evagre du Pont"", ""Evagre le Pontique"", ""Evagrius Ponticus""]",[],"[""Ancient Greek""]","[""58103843""]"
Philodemus,Philodème de Gadara,Philodemus,Q451550,Philodemos,672,"[""Philodem"", ""Philodemus of Gadara"", ""Philodemos""]","[""Philod\u00e8me l'\u00e9picurien"", ""Philodeme de Gadara"", ""Philod\u00e8me""]","[""Philodemus Gadarensis"", ""Philodemus Philosophus""]","[""Ancient Greek""]","[""8723167807299018130001"", ""31151776775218011266"", ""285857420"", ""222579498"", ""173167802707517770083"", ""100205463"", ""100205444"", ""2735149544581100490002"", ""268806125"", ""144160307390757742052"", ""100205459"", ""852154380951630290622""]"
Pseudo-Longinus,Pseudo-Longin,Longinus,Q744540,Pseudo-Longinos or Pseudo-Dionysios,2854,"[""Dionysius Longinus""]",[],"[""Pseudo-Longinus"", ""Dionysius Longinus""]","[""Ancient Greek""]","[""281851250""]"
Posidippus,Posidippe,Posidippus,Q1392801,Poseidippos of Pella,709,"[""Posidippus of Pella""]","[""Posidippos"", ""Posidippus""]","[""Posidippus Pellensis""]","[""Ancient Greek""]","[""173798378"", ""1780159474072327660541"", ""79066202"", ""71427145"", ""104149196670674792920"", ""3135157527290127300009"", ""1192154381056030292215""]"
Plato,Platon,Plato,Q859,Platon,694,[],[],"[""Plato Philosophus""]","[""Attic Greek""]","[""4044156811375145390005"", ""276159474047727660458"", ""192168048973138410001"", ""123158790754138852978"", ""108159964""]"
Venantius Fortunatus,Venance Fortunat,Venantius Fortunatus,Q44934,Venantius Fortunatus,956,"[""Venantius Honorius Clementianus Fortunatus"", ""St. Venantius Honorius Clementianus Fortunato"", ""Fortunatus""]","[""Venantius Fortunatus""]","[""Venantius Fortunatus Poeta"", ""Venantius Honorius Clementianus Fortunatus""]","[""Medieval Latin""]","[""833144647703769211108"", ""2090159477799827990003"", ""1061160310477358300002"", ""220004375"", ""88046472""]"
Gregory of Tours,Grégoire de Tours,Gregorius Turonensis,Q67841,Gregorius of Tours,1278,"[""St. Gregory of Tours""]","[""Gr\u00e9goire de Tour"", ""Saint Gr\u00e9goire de Tours"", ""Gregoire de Tours""]","[""Sanctus Gregorius Turonensis""]","[""Medieval Latin""]","[""83984609"", ""95289837""]"
Gorgias,Gorgias,Gorgias,Q179785,Gorgias of Leontinoi,2449,"[""Gorgias of Leontini""]",[],"[""Gorgias Sophista"", ""Gorgias Leontinus""]","[""Attic Greek""]","[""7334168049006638410001"", ""310159474048027660153"", ""307487069"", ""219167802705417770163"", ""178711607"", ""163791888"", ""100907851"", ""11612027"", ""264220303"", ""220158790623138851457"", ""222968421"", ""1617159474073227661029"", ""305414374""]"
Maximus the Confessor,Maxime le Confesseur,Maximus Confessor,Q206842,Maximos confessor,2999,"[""Saint Maximus"", ""Maximus of Constantinople"", ""Maximus the Theologian""]","[""Maxime de Chrysopolis"", ""Saint Maxime le Confesseur""]","[""Maximus Confessor Theologus"", ""Maximus Constantinopolitanus"", ""Maximus Homologetes""]","[""Medieval Greek""]","[""417144647704954014388"", ""241733450"", ""18155284848887061915"", ""315656223"", ""106970843""]"
Pelagius,Pélage,Pelagius,Q162593,Pelagius,644,"[""Morgan""]","[""Pelagius""]","[""Pelagius Britannicus"", ""Pelagius Theologus""]",[],"[""8737169032391487720002"", ""55152380070801761600"", ""505152636063020050427"", ""401159474048227660699"", ""265763562"", ""1009159474201727661511"", ""231956534"", ""106160307513957742453"", ""54204136"", ""1951159474359727662926"", ""158154380893430290203""]"
Mani,Mani,Manes,Q203922,Mani,547,"[""Manes"", ""Suraik"", ""Kurbik""]","[""ma\u00eetre Mani"", ""le Vivant"", ""Manikhaios""]","[""Manichaeus""]",[],"[""686154380897530290218"", ""252159474178427661303"", ""3575158675961627500004"", ""267829424"", ""56618185""]"
Hippolytus,Hippolyte de Rome,Hippolytus,Q207113,Hippolytos of Rome,391,"[""St. Hippolytus"", ""Hippolytus of Rome""]","[""Hippolyte de Porto"", ""Antipape Hippolyte"", ""Saint Hippolyte de Rome""]","[""Sanctus Hippolytus"", ""Hippolytus Romanus""]",[],"[""88873163"", ""284558490""]"
Pseudo-Dionysius the Areopagite,Pseudo-Denys l'Aréopagite,Pseudo-Dionysius Areopagita,Q312816,Pseudo-Dionysios Areopagites,744,"[""Pseudo-Denys"", ""Dionysius the Pseudo-Areopagite""]","[""Pseudo-Denys"", ""Corpus Areopagiticum"", ""Pseudo-Denys l'Areopagite"", ""Saint Denys l\u2019Ar\u00e9opagite""]",[],[],"[""59878274""]"
Suidas,Suidas,Suidas,Q1534037,Anonymus of the Suidas,6227,"[""S\u016b\u00efdas"", ""Su\u00efdas"", ""Soudas"", ""Souidas""]",[],[],[],"[""9361168049015838410005"", ""735168049022838410001"", ""350158790631838851720"", ""345159474301327662154"", ""100162651"", ""92165706604348932729"", ""100162646"", ""173154380931630290471""]"
Hermas,Hermas,Hermas,Q1799472,Hermas,370,[],[],"[""Hermas Scriptor ecclesiasticus""]",[],"[""84484483"", ""713156811365445390008"", ""6346159248467104870006"", ""49197306"", ""102325033"", ""239159474047127660769"", ""315616994"", ""2489046"", ""268473208""]"
Socrates,Socrate,Socrates,Q913,Sokrates,3623,[],[],"[""Socrates Atheniensis"", ""Socrates Philosophus""]",[],"[""84043798"", ""781144647701334922457"", ""775144647714039525785"", ""3674153063110919320005"", ""3342153063168319320003"", ""330159474047327660519"", ""3160791822702860002"", ""111650452"", ""207796077"", ""312147905271179092140"", ""410152138657010982092"", ""153147905262479092118"", ""79151776831518012952"", ""283620190"", ""260147905253679092124"", ""88039167""]"
Pythagoras,Pythagore,Pythagoras,Q10261,Pythagoras,803,"[""Pythagoras from Samos"", ""Pythagoras of Samos"", ""Samian Sage""]",[],"[""Pythagoras Samius"", ""Pythagoras Philosophus""]",[],"[""84036666"", ""83073140"", ""498168048974538410002"", ""375157342860710100009"", ""318159474331827662926"", ""250958546"", ""209894863"", ""13151352051052602454"", ""102862543"", ""225158790508938850686"", ""162237897"", ""264085599""]"
